"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"S<sc>ummit</sc>: Scaling Deep Learning Interpretability by Visualizing Activation and Attribution Summarizations","F. Hohman; H. Park; C. Robinson; D. H. Polo Chau",Georgia Tech.; Georgia Tech.; Georgia Tech.; Georgia Tech.,"IEEE Transactions on Visualization and Computer Graphics","27 Nov 2019","2020","26","1","1096","1106","Deep learning is increasingly used in decision-making tasks. However, understanding how neural networks produce final predictions remains a fundamental challenge. Existing work on interpreting neural network predictions for images often focuses on explaining predictions for single images or neurons. As predictions are often computed from millions of weights that are optimized over millions of images, such explanations can easily miss a bigger picture. We present Summit, an interactive system that scalably and systematically summarizes and visualizes what features a deep learning model has learned and how those features interact to make predictions. Summit introduces two new scalable summarization techniques: (1) activation aggregation discovers important neurons, and (2) neuron-influence aggregation identifies relationships among such neurons. Summit combines these techniques to create the novel attribution graph that reveals and summarizes crucial neuron associations and substructures that contribute to a model's outcomes. Summit scales to large data, such as the ImageNet dataset with 1.2M images, and leverages neural network feature visualization and dataset examples to help users distill large, complex neural network models into compact, interactive visualizations. We present neural network exploration scenarios where Summit helps us discover multiple surprising insights into a prevalent, large-scale image classifier's learned representations and informs future neural network architecture design. The Summit visualization runs in modern web browsers and is open-sourced.","1941-0506","","10.1109/TVCG.2019.2934659","NSF(grant numbers:IIS-1563816,CNS-1704701,TWC-1526254); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8807294","Deep learning interpretability;visual analytics;scalable summarization;attribution graph","Neurons;Biological neural networks;Feature extraction;Data visualization;Computational modeling;Predictive models;Visualization","data visualisation;feature extraction;graph theory;image classification;image representation;interactive systems;Internet;learning (artificial intelligence);neural net architecture;public domain software","Web browsers;computer vision model;representation learning;Summit visualization;image classifier;interactive visualizations;neural network feature visualization;deep learning model;interactive system;neural network predictions;decision-making tasks;attribution summarizations;deep learning interpretability;neural network architecture","","39","","60","IEEE","20 Aug 2019","","","IEEE","IEEE Journals"
"Understanding Interfirm Relationships in Business Ecosystems with Interactive Visualization","R. C. Basole; T. Clear; M. Hu; H. Mehrotra; J. Stasko",Georgia Tech; Georgia Tech; Georgia Tech; Georgia Tech; Georgia Tech,"IEEE Transactions on Visualization and Computer Graphics","16 Oct 2013","2013","19","12","2526","2535","Business ecosystems are characterized by large, complex, and global networks of firms, often from many different market segments, all collaborating, partnering, and competing to create and deliver new products and services. Given the rapidly increasing scale, complexity, and rate of change of business ecosystems, as well as economic and competitive pressures, analysts are faced with the formidable task of quickly understanding the fundamental characteristics of these interfirm networks. Existing tools, however, are predominantly query- or list-centric with limited interactive, exploratory capabilities. Guided by a field study of corporate analysts, we have designed and implemented dotlink360, an interactive visualization system that provides capabilities to gain systemic insight into the compositional, temporal, and connective characteristics of business ecosystems. dotlink360 consists of novel, multiple connected views enabling the analyst to explore, discover, and understand interfirm networks for a focal firm, specific market segments or countries, and the entire business ecosystem. System evaluation by a small group of prototypical users shows supporting evidence of the benefits of our approach. This design study contributes to the relatively unexplored, but promising area of exploratory information visualization in market research and business strategy.","1941-0506","","10.1109/TVCG.2013.209","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6634088","Companies;Ecosystems;Interactive systems;Data visualization;Mobile communication;network visualization;Business ecosystems;market research;strategic analysis;design study;interaction","Companies;Ecosystems;Interactive systems;Data visualization;Mobile communication","commerce;data visualisation;interactive systems;market opportunities","dotlink360;market segments;global networks;interactive visualization;business ecosystems;interfirm relationships","Algorithms;Commerce;Computer Graphics;Computer Simulation;Ecosystem;Interinstitutional Relations;Models, Organizational;User-Computer Interface","39","","51","","16 Oct 2013","","","IEEE","IEEE Journals"
"Visual Correlation Analysis of Numerical and Categorical Data on the Correlation Map","Z. Zhang; K. T. McDonnell; E. Zadok; K. Mueller","Visual Analytics and Imaging Lab at the Computer Science Department, Stony Brook University, Stony Brook, NY; Department of Mathematics and Computer Science, Dowling College, Oakdale, NY; Filesystems and Storage Lab at the Computer Science Department, Stony Brook University, Stony Brook, NY; Visual Analytics and Imaging Lab at the Computer Science Department, Stony Brook University, Stony Brook, NY","IEEE Transactions on Visualization and Computer Graphics","30 Dec 2014","2015","21","2","289","303","Correlation analysis can reveal the complex relationships that often exist among the variables in multivariate data. However, as the number of variables grows, it can be difficult to gain a good understanding of the correlation landscape and important intricate relationships might be missed. We previously introduced a technique that arranged the variables into a 2D layout, encoding their pairwise correlations. We then used this layout as a network for the interactive ordering of axes in parallel coordinate displays. Our current work expresses the layout as a correlation map and employs it for visual correlation analysis. In contrast to matrix displays where correlations are indicated at intersections of rows and columns, our map conveys correlations by spatial proximity which is more direct and more focused on the variables in play. We make the following new contributions, some unique to our map: (1) we devise mechanisms that handle both categorical and numerical variables within a unified framework, (2) we achieve scalability for large numbers of variables via a multi-scale semantic zooming approach, (3) we provide interactive techniques for exploring the impact of value bracketing on correlations, and (4) we visualize data relations within the sub-spaces spanned by correlated variables by projecting the data into a corresponding tessellation of the map.","1941-0506","","10.1109/TVCG.2014.2350494","National Science Foundation(grant numbers:1050477,0959979,0937854,1117132); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6881685","Visual analytics;visual correlation analysis;categorical data;information visualization;interactive interfaces","Correlation;Visualization;Layout;Data visualization;Correlation coefficient;Optimization;Numerical models","correlation methods;data analysis;data visualisation;interactive systems","visual correlation analysis;categorical data;numerical data;correlation map;spatial proximity;multiscale semantic zooming;interactive techniques;value bracketing;map tessellation","","39","","37","USGov","21 Aug 2014","","","IEEE","IEEE Journals"
"A User Study on Curved Edges in Graph Visualization","K. Xu; C. Rooney; P. Passmore; D. -H. Ham; P. H. Nguyen",Middlesex University; Middlesex University; Middlesex University; Chonnam National University; Middlesex University,"IEEE Transactions on Visualization and Computer Graphics","8 Oct 2012","2012","18","12","2449","2456","Recently there has been increasing research interest in displaying graphs with curved edges to produce more readable visualizations. While there are several automatic techniques, little has been done to evaluate their effectiveness empirically. In this paper we present two experiments studying the impact of edge curvature on graph readability. The goal is to understand the advantages and disadvantages of using curved edges for common graph tasks compared to straight line segments, which are the conventional choice for showing edges in node-link diagrams. We included several edge variations: straight edges, edges with different curvature levels, and mixed straight and curved edges. During the experiments, participants were asked to complete network tasks including determination of connectivity, shortest path, node degree, and common neighbors. We also asked the participants to provide subjective ratings of the aesthetics of different edge types. The results show significant performance differences between the straight and curved edges and clear distinctions between variations of curved edges.","1941-0506","","10.1109/TVCG.2012.189","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6327250","Graph;visualization;curved edges;evaluation","Visualization;Layout;Educational institutions;Optimization;Software;Analysis of variance;User interfaces","data visualisation;graph theory","graph visualization;edge curvature;graph readability;graph task;node-link diagram;edge variation;connectivity determination;shortest path;node degree;common neighbor;subjective rating","","38","","35","","8 Oct 2012","","","IEEE","IEEE Journals"
"A real-time photo-realistic visual flythrough","D. Cohen-Or; E. Rich; U. Lerner; V. Shenkar","Tilsat System Eng., Bnei-Brak, Israel; Tilsat System Eng., Bnei-Brak, Israel; Tilsat System Eng., Bnei-Brak, Israel; Tilsat System Eng., Bnei-Brak, Israel","IEEE Transactions on Visualization and Computer Graphics","6 Aug 2002","1996","2","3","255","265","In this paper we present a comprehensive flythrough system which generates photo-realistic images in true real-time. The high performance is due to an innovative rendering algorithm based on a discrete ray casting approach, accelerated by ray coherence and multiresolution traversal. The terrain as well as the 3D objects are represented by a textured mapped voxel-based model. The system is based on a pure software algorithm and is thus portable. It was first implemented on a workstation and then ported to a general-purpose parallel architecture to achieve real-time performance.","1941-0506","","10.1109/2945.537308","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=537308","","Image generation;Aerospace simulation;Cameras;Rendering (computer graphics);Computational modeling;Hardware;Casting;Parallel architectures;Computer simulation;Layout","rendering (computer graphics);aerospace simulation;data visualisation;parallel algorithms;real-time systems;software portability","visual flythrough;photo-realistic images;rendering algorithm;discrete ray casting;ray coherence;multiresolution traversal;textured;mapped;real-time performance;portable;terrain visualization;parallel rendering;flight simulator;voxel-based modeling;visual simulations","","38","2","15","IEEE","6 Aug 2002","","","IEEE","IEEE Journals"
"Interactive Visual Analysis of Families of Function Graphs","Z. Konyha; K. Matkovic; D. Gracanin; M. Jelovic; H. Hauser","IEEE Computer Society; VRVis Res. Center, Vienna; NA; NA; NA","IEEE Transactions on Visualization and Computer Graphics","18 Sep 2006","2006","12","6","1373","1385","The analysis and exploration of multidimensional and multivariate data is still one of the most challenging areas in the field of visualization. In this paper, we describe an approach to visual analysis of an especially challenging set of problems that exhibit a complex internal data structure. We describe the interactive visual exploration and analysis of data that includes several (usually large) families of function graphs f_i({\bf{x}},t). We describe analysis procedures and practical aspects of the interactive visual analysis specific to this type of data (with emphasis on the function graph characteristic of the data). We adopted the well-proven approach of multiple, linked views with advanced interactive brushing to assess the data. Standard views such as histograms, scatterplots, and parallel coordinates are used to jointly visualize data. We support iterative visual analysis by providing means to create complex, composite brushes that span multiple views and that are constructed using different combination schemes. We demonstrate that engineering applications represent a challenging but very applicable area for visual analytics. As a case study, we describe the optimization of a fuel injection system in diesel engines of passenger cars.","1941-0506","","10.1109/TVCG.2006.99","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1703360","Visual exploration;composite brushing;linked views;time series data;fuel injection system.","Data visualization;Multidimensional systems;Data structures;Data analysis;Histograms;Scattering;Brushes;Visual analytics;Fuels;Diesel engines","data analysis;data structures;data visualisation;graph theory","Visual exploration;composite brushing;linked views;time series data;fuel injection system.","Algorithms;Computer Graphics;Computer Simulation;Data Interpretation, Statistical;Information Storage and Retrieval;Models, Statistical;Multivariate Analysis;Pattern Recognition, Automated;User-Computer Interface","38","","37","IEEE","18 Sep 2006","","","IEEE","IEEE Journals"
"Reliable path for virtual endoscopy: ensuring complete examination of human organs","Taosong He; Lichan Hong; Dongqing Chen; Zhengrong Liang","Network & Service Manage. Res. Dept., Lucent Technol. Bell Labs., Murray Hill, NJ, USA; NA; NA; NA","IEEE Transactions on Visualization and Computer Graphics","6 Aug 2002","2001","7","4","333","342","Virtual endoscopy is a computerized, noninvasive procedure for detecting anomalies inside human organs. Several preliminary studies have demonstrated the benefits and effectiveness of this modality. Unfortunately, previous work cannot guarantee that an existing anomaly will be detected, especially for complex organs with multiple branches. In this paper, we introduce the concept of reliable navigation, which ensures the interior organ surface is fully examined by the physician performing the virtual endoscopy procedure. To achieve this, we propose computing a reliable fly-through path that ensures no blind areas during the navigation. Theoretically, we discuss the criteria of evaluating a reliable path and prove that the problem of generating an optimal reliable path for virtual endoscopy is NP-complete. In practice, we develop an efficient method for the calculation of an effective reliable path. First, a small set of center observation points are automatically located inside the hollow organ. For each observation point, there exists at least one patch of interior surface visible to it, but that cannot be seen from any of the other observation points. These chosen points are then linked with a path that stays in the center of the organ. Finally, new points inside the organ are recursively selected and connected into the path until the entire organ surface is visible from the path. We present encouraging results from experiments on several data sets. For a medium-size volumetric model with several hundred thousand inner voxels, an effective reliable path can be generated in several minutes.","1941-0506","","10.1109/2945.965347","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=965347","","Endoscopes;Humans;Navigation;Cameras;Reliability theory;Automatic control;Switches;Helium;Biomedical imaging;Computer graphics","path planning;computational complexity;optimisation;medical image processing;visibility;reliability;computerised navigation;data visualisation","virtual endoscopy;computerized noninvasive procedure;human organs examination;anomaly detection;organ branches;reliable navigation;interior organ surface;optimal reliable fly-through path;blind areas;NP-complete problem;center observation points;hollow organ;visibility;recursively selected points;volumetric model;inner voxels;camera control","","38","2","24","IEEE","6 Aug 2002","","","IEEE","IEEE Journals"
"Towards BCI-Based Interfaces for Augmented Reality: Feasibility, Design and Evaluation","H. Si-Mohammed; J. Petit; C. Jeunet; F. Argelaguet; F. Spindler; A. Évain; N. Roussel; G. Casiez; A. Lecuyer","Inria, IRISA, CNRS, Univ. Rennes, Rennes, France; Inria, IRISA, CNRS, Univ. Rennes, Rennes, France; CNBI, EPFL, Geneva, Switzerland; Inria, IRISA, CNRS, Univ. Rennes, Rennes, France; Inria, IRISA, CNRS, Univ. Rennes, Rennes, France; Zebrys, Toulouse, France; Inria Bordeaux, Bordeaux, France; University of Lille, Villeneuve d'Ascq, France; Inria, IRISA, CNRS, Univ. Rennes, Rennes, France","IEEE Transactions on Visualization and Computer Graphics","29 Jan 2020","2020","26","3","1608","1621","Brain-Computer Interfaces (BCIs) enable users to interact with computers without any dedicated movement, bringing new hands-free interaction paradigms. In this paper we study the combination of BCI and Augmented Reality (AR). We first tested the feasibility of using BCI in AR settings based on Optical See-Through Head-Mounted Displays (OST-HMDs). Experimental results showed that a BCI and an OST-HMD equipment (EEG headset and Hololens in our case) are well compatible and that small movements of the head can be tolerated when using the BCI. Second, we introduced a design space for command display strategies based on BCI in AR, when exploiting a famous brain pattern called Steady-State Visually Evoked Potential (SSVEP). Our design space relies on five dimensions concerning the visual layout of the BCI menu; namely: orientation, frame-of-reference, anchorage, size and explicitness. We implemented various BCI-based display strategies and tested them within the context of mobile robot control in AR. Our findings were finally integrated within an operational prototype based on a real mobile robot that is controlled in AR using a BCI and a HoloLens headset. Taken together our results (4 user studies) and our methodology could pave the way to future interaction schemes in Augmented Reality exploiting 3D User Interfaces based on brain activity and BCIs.","1941-0506","","10.1109/TVCG.2018.2873737","Inria Project Lab BCI-Lift; EPFL-Inria International Lab.; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8481564","Brain-computer interface;augmented reality;user interface;design space;SSVEP;optical see-through;robot control","Augmented reality;Electroencephalography;Headphones;Resists;Aerospace electronics;Integrated optics;Robots","augmented reality;brain-computer interfaces;electroencephalography;helmet mounted displays;medical robotics;medical signal processing;mobile robots;visual evoked potentials","EEG headset;HoloLens headset;mobile robot control;frame-of-reference;steady-state visually evoked potential;brain pattern;head movement;optical see-through head-mounted displays;BCI-based display strategies;hands-free interaction paradigms;brain-computer interfaces;augmented reality","Adult;Augmented Reality;Brain-Computer Interfaces;Electroencephalography;Evoked Potentials, Visual;Feasibility Studies;Head;Humans;Photic Stimulation;Task Performance and Analysis;Young Adult","38","","32","IEEE","4 Oct 2018","","","IEEE","IEEE Journals"
"Visualization of Simulated Urban Spaces: Inferring Parameterized Generation of Streets, Parcels, and Aerial Imagery","C. A. Vanegas; D. G. Aliaga; B. Benes; P. Waddell","Purdue University, West Lafayette; Purdue University, West Lafayette; Purdue University, West Lafayette; University of Washington, Seattle","IEEE Transactions on Visualization and Computer Graphics","16 Mar 2009","2009","15","3","424","435","Urban simulation models and their visualization are used to help regional planning agencies evaluate alternative transportation investments, land use regulations, and environmental protection policies. Typical urban simulations provide spatially distributed data about number of inhabitants, land prices, traffic, and other variables. In this article, we build on a synergy of urban simulation, urban visualization, and computer graphics to automatically infer an urban layout for any time step of the simulation sequence. In addition to standard visualization tools, our method gathers data of the original street network, parcels, and aerial imagery and uses the available simulation results to infer changes to the original urban layout and produce a new and plausible layout for the simulation results. In contrast with previous work, our approach automatically updates the layout based on changes in the simulation data and thus can scale to a large simulation over many years. The method in this article offers a substantial step forward in building integrated visualization and behavioral simulation systems for use in community visioning, planning, and policy analysis. We demonstrate our method on several real cases using a 200 GB database for a 16,300 km2 area surrounding Seattle, Washington.","1941-0506","","10.1109/TVCG.2008.193","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4668343","Picture/Image Generation;Information visualization;Visualization techniques and methodologies;Picture/Image Generation;Information visualization;Visualization techniques and methodologies","Data visualization;Computational modeling;Computer simulation;Layout;Land use planning;Urban planning;Transportation;Investments;Protection;Telecommunication traffic","data visualisation;geographic information systems;geophysical signal processing;image processing;land use planning","simulated urban space visualization;aerial imagery;regional planning agency;parameterized street generation;parcel;transportation investment;land use regulation;environmental protection policy;computer graphics;community visioning;GIS;geographic information systems","Cities;Computer Graphics;Computer Simulation;Ecosystem;Geographic Information Systems;Imaging, Three-Dimensional;Maps as Topic;Models, Theoretical;User-Computer Interface","38","1","36","IEEE","16 Mar 2009","","","IEEE","IEEE Journals"
"Browsing Zoomable Treemaps: Structure-Aware Multi-Scale Navigation Techniques","R. Blanch; E. Lecolinet","Univ. of Grenoble 1, Grenoble; NA","IEEE Transactions on Visualization and Computer Graphics","5 Nov 2007","2007","13","6","1248","1253","Treemaps provide an interesting solution for representing hierarchical data. However, most studies have mainly focused on layout algorithms and paid limited attention to the interaction with treemaps. This makes it difficult to explore large data sets and to get access to details, especially to those related to the leaves of the trees. We propose the notion of zoomable treemaps (ZTMs), an hybridization between treemaps and zoomable user interfaces that facilitates the navigation in large hierarchical data sets. By providing a consistent set of interaction techniques, ZTMs make it possible for users to browse through very large data sets (e.g., 700,000 nodes dispatched amongst 13 levels). These techniques use the structure of the displayed data to guide the interaction and provide a way to improve interactive navigation in treemaps.","1941-0506","","10.1109/TVCG.2007.70540","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4376147","Information visualization;multi-scale interaction;structure-aware navigation;zoomable treemaps.","Navigation;User interfaces;Tree graphs;Data visualization;File systems;Filling;Layout","data structures;data visualisation;navigation;user interfaces","interactive navigation;zoomable user interfaces;zoomable treemaps;hierarchical data represention;structure-aware multiscale navigation;zoomable treemap browsing","","37","1","36","","5 Nov 2007","","","IEEE","IEEE Journals"
"Graphical Overlays: Using Layered Elements to Aid Chart Reading","N. Kong; M. Agrawala","University of California, Berkeley; University of California, Berkeley","IEEE Transactions on Visualization and Computer Graphics","8 Oct 2012","2012","18","12","2631","2638","Reading a visualization can involve a number of tasks such as extracting, comparing or aggregating numerical values. Yet, most of the charts that are published in newspapers, reports, books, and on the Web only support a subset of these tasks. In this paper we introduce graphical overlays-visual elements that are layered onto charts to facilitate a larger set of chart reading tasks. These overlays directly support the lower-level perceptual and cognitive processes that viewers must perform to read a chart. We identify five main types of overlays that support these processes; the overlays can provide (1) reference structures such as gridlines, (2) highlights such as outlines around important marks, (3) redundant encodings such as numerical data labels, (4) summary statistics such as the mean or max and (5) annotations such as descriptive text for context. We then present an automated system that applies user-chosen graphical overlays to existing chart bitmaps. Our approach is based on the insight that generating most of these graphical overlays only requires knowing the properties of the visual marks and axes that encode the data, but does not require access to the underlying data values. Thus, our system analyzes the chart bitmap to extract only the properties necessary to generate the desired overlay. We also discuss techniques for generating interactive overlays that provide additional controls to viewers. We demonstrate several examples of each overlay type for bar, pie and line charts.","1941-0506","","10.1109/TVCG.2012.229","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6327269","Visualization;overlays;graphical perception;graph comprehension","Visualization;Encoding;Image color analysis;Data mining;Data visualization;Bars;Market research","charts;data visualisation","layered elements;aid chart reading;visualization;aggregating numerical values;World Wide Web;visual elements;chart reading task;cognitive processes;redundant encoding;numerical data label;summary statistics;descriptive text;automated system;user chosen graphical overlays;chart bitmaps;visual marks;interactive overlays;bar charts;pie charts;line charts","","37","10","38","","8 Oct 2012","","","IEEE","IEEE Journals"
"Seeing People in Different Light-Joint Shape, Motion, and Reflectance Capture","C. Theobalt; N. Ahmed; H. Lensch; M. Magnor; H. -P. Seidel","MPI Informatik, Stuhlsatzenhausweg 85, 66123 Saarbruecken, Germany; MPI Informatik, Stuhlsatzenhausweg 85, 66123 Saarbruecken, Germany; MPI Informatik, Stuhlsatzenhausweg 85, 66123 Saarbruecken, Germany; TU Braunschweig, Computer Graphics Lab, Muehlenpfordtstr. 23, 38106 Braunschweig, Germany; MPI Informatik, Stuhlsatzenhausweg 85, 66123 Saarbruecken, Germany","IEEE Transactions on Visualization and Computer Graphics","20 Aug 2007","2007","13","4","663","674","By means of passive optical motion capture, real people can be authentically animated and photo-realistically textured. To import real-world characters into virtual environments, however, surface reflectance properties must also be known. We describe a video-based modeling approach that captures human shape and motion as well as reflectance characteristics from a handful of synchronized video recordings. The presented method is able to recover spatially varying surface reflectance properties of clothes from multiview video footage. The resulting model description enables us to realistically reproduce the appearance of animated virtual actors under different lighting conditions, as well as to interchange surface attributes among different people, e.g., for virtual dressing. Our contribution can be used to create 3D renditions of real-world people under arbitrary novel lighting conditions on standard graphics hardware.","1941-0506","","10.1109/TVCG.2007.1006","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4293011","3D video;dynamic reflectometry;real-time rendering;relighting.","Shape;Reflectivity;Rendering (computer graphics);Geometry;Animation;Layout;Graphics;Textiles;Video recording;Hardware","computer animation;realistic images;rendering (computer graphics);video recording","passive optical motion capture system;virtual environment;surface reflectance;video-based modeling;multiview video footage;real-time rendering","Computer Graphics;Computer Simulation;Image Enhancement;Image Interpretation, Computer-Assisted;Imaging, Three-Dimensional;Joints;Joints;Lighting;Models, Biological;Movement;User-Computer Interface","37","9","42","IEEE","20 Aug 2007","","","IEEE","IEEE Journals"
"An Uncertainty-Aware Approach for Exploratory Microblog Retrieval","M. Liu; S. Liu; X. Zhu; Q. Liao; F. Wei; S. Pan","Tsinghua University; Tsinghua University; USTC; Microsoft; Microsoft; University of Maryland, Baltimore County","IEEE Transactions on Visualization and Computer Graphics","27 Oct 2015","2016","22","1","250","259","Although there has been a great deal of interest in analyzing customer opinions and breaking news in microblogs, progress has been hampered by the lack of an effective mechanism to discover and retrieve data of interest from microblogs. To address this problem, we have developed an uncertainty-aware visual analytics approach to retrieve salient posts, users, and hashtags. We extend an existing ranking technique to compute a multifaceted retrieval result: the mutual reinforcement rank of a graph node, the uncertainty of each rank, and the propagation of uncertainty among different graph nodes. To illustrate the three facets, we have also designed a composite visualization with three visual components: a graph visualization, an uncertainty glyph, and a flow map. The graph visualization with glyphs, the flow map, and the uncertainty analysis together enable analysts to effectively find the most uncertain results and interactively refine them. We have applied our approach to several Twitter datasets. Qualitative evaluation and two real-world case studies demonstrate the promise of our approach for retrieving high-quality microblog data.","1941-0506","","10.1109/TVCG.2015.2467554","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7192694","microblog data;mutual reinforcement model;uncertainty modeling;uncertainty visualization;uncertainty propagation;microblog data;mutual reinforcement model;uncertainty modeling;uncertainty visualization;uncertainty propagation","Uncertainty;Twitter;Tagging;Data visualization;Visual analytics;Monte Carlo methods;Data models","data visualisation;information retrieval;Web sites","uncertainty-aware approach;exploratory microblog retrieval;uncertainty-aware visual analytics approach;salient posts retrieval;hashtags retrieval;ranking technique;mutual reinforcement rank;graph node;composite visualization;graph visualization;uncertainty glyph;flow map;high-quality microblog data retrieval","Blogging;Computer Graphics;Humans;Information Storage and Retrieval;Internet;Models, Statistical;Models, Theoretical;Monte Carlo Method","36","","55","IEEE","12 Aug 2015","","","IEEE","IEEE Journals"
"Aura 3D Textures","X. Qin; Y. Yang","Department of Computing Science, Grant MacEwan College, PO Box 1796, Edmonton, AB, Canada, T5J 2P2; Department of Computing Science, University of Alberta, Edmonton, AB T6G 2E8, Canada","IEEE Transactions on Visualization and Computer Graphics","22 Jan 2007","2007","13","2","379","389","This paper presents a new technique, called aura 3D textures, for generating solid textures based on input examples. Our method is fully automatic and requires no user interactions in the process. Given an input texture sample, our method first creates its aura matrix representations and then generates a solid texture by sampling the aura matrices of the input sample constrained in multiple view directions. Once the solid texture is generated, any given object can be textured by the solid texture. We evaluate the results of our method based on extensive user studies. Based on the evaluation results using human subjects, we conclude that our algorithm can generate faithful results of both stochastic and structural textures with an average successful rate of 76.4 percent. Our experimental results also show that the new method outperforms Wei and Levoy's method and is comparable to that proposed by Jagnow et al. (2004)","1941-0506","","10.1109/TVCG.2007.31","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4069245","Aura matrices;basic gray-level aura matrices (BGLAM);solid textures;texture synthesis.","Solids;Surface texture;Sampling methods;Computer graphics;Humans;Stochastic processes;Rendering (computer graphics);Layout;Fires;Clouds","image texture;matrix algebra;solid modelling","aura 3D textures;solid textures;aura matrix representation;stochastic textures;structural textures;gray-level aura matrices;texture synthesis","Algorithms;Computer Graphics;Image Enhancement;Image Interpretation, Computer-Assisted;Imaging, Three-Dimensional;Information Storage and Retrieval;Surface Properties","36","","50","","22 Jan 2007","","","IEEE","IEEE Journals"
"Caustics Mapping: An Image-Space Technique for Real-Time Caustics","M. A. Shah; J. Konttinen; S. Pattanaik","School of Electrical Engineering and Computer Science, Engineering III, Room 213, University of Central Florida, Orlando, FL 32816; School of Electrical Engineering and Computer Science, Engineering III, Room 213, University of Central Florida, Orlando, FL 32816; School of Electrical Engineering and Computer Science, Engineering III, Room 213, University of Central Florida, Orlando, FL 32816","IEEE Transactions on Visualization and Computer Graphics","22 Jan 2007","2007","13","2","272","280","In this paper, we present a simple and practical technique for real-time rendering of caustics from reflective and refractive objects. Our algorithm, conceptually similar to shadow mapping, consists of two main parts: creation of a caustic map texture, and utilization of the map to render caustics onto nonshiny surfaces. Our approach avoids performing any expensive geometric tests, such as ray-object intersection, and involves no precomputation; both of which are common features in previous work. The algorithm is well suited for the standard rasterization pipeline and runs entirely on the graphics hardware.","1941-0506","","10.1109/TVCG.2007.32","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4069236","Caustics;real-time rendering;image-space techniques;GPU.","Rendering (computer graphics);Layout;Graphics;Geometry;Ray tracing;Shadow mapping;Testing;Hardware;Optical refraction;Real time systems","image texture;rendering (computer graphics)","caustics mapping;image-space technique;real-time caustics rendering;reflective objects;refractive objects;shadow mapping;caustic map texture;rasterization","Algorithms;Computer Graphics;Computer Systems;Image Enhancement;Image Interpretation, Computer-Assisted;Imaging, Three-Dimensional;Lighting;Numerical Analysis, Computer-Assisted;User-Computer Interface","36","2","19","IEEE","22 Jan 2007","","","IEEE","IEEE Journals"
"Compressed Adjacency Matrices: Untangling Gene Regulatory Networks","K. Dinkla; M. A. Westenberg; J. J. van Wijk",Eindhoven University of Technology; Eindhoven University of Technology; Eindhoven University of Technology,"IEEE Transactions on Visualization and Computer Graphics","8 Oct 2012","2012","18","12","2457","2466","We present a novel technique-Compressed Adjacency Matrices-for visualizing gene regulatory networks. These directed networks have strong structural characteristics: out-degrees with a scale-free distribution, in-degrees bound by a low maximum, and few and small cycles. Standard visualization techniques, such as node-link diagrams and adjacency matrices, are impeded by these network characteristics. The scale-free distribution of out-degrees causes a high number of intersecting edges in node-link diagrams. Adjacency matrices become space-inefficient due to the low in-degrees and the resulting sparse network. Compressed adjacency matrices, however, exploit these structural characteristics. By cutting open and rearranging an adjacency matrix, we achieve a compact and neatly-arranged visualization. Compressed adjacency matrices allow for easy detection of subnetworks with a specific structure, so-called motifs, which provide important knowledge about gene regulatory networks to domain experts. We summarize motifs commonly referred to in the literature, and relate them to network analysis tasks common to the visualization domain. We show that a user can easily find the important motifs in compressed adjacency matrices, and that this is hard in standard adjacency matrix and node-link diagrams. We also demonstrate that interaction techniques for standard adjacency matrices can be used for our compressed variant. These techniques include rearrangement clustering, highlighting, and filtering.","1941-0506","","10.1109/TVCG.2012.208","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6327251","Network;gene regulation;scale-free;adjacency matrix","Visualization;Computer aided manufacturing;Standards;Sparse matrices;Layout;Bismuth;Proteins","biology computing;data visualisation;genetics;matrix algebra;network theory (graphs)","compressed adjacency matrices;gene regulatory networks;directed networks;structural characteristics;scale-free distribution;standard visualization;node-link diagrams;network characteristics;sparse network;neatly-arranged visualization;motifs;visualization domain;standard adjacency matrix;rearrangement clustering","Algorithms;Computer Graphics;Gene Regulatory Networks;Image Processing, Computer-Assisted","36","1","43","","8 Oct 2012","","","IEEE","IEEE Journals"
