"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Graph Signatures for Visual Analytics","Pak Chung Wong; H. Foote; G. Chin; P. Mackey; K. Perrine","Pacific Northwest Nat. Lab., Richland, WA; Pacific Northwest Nat. Lab., Richland, WA; Pacific Northwest Nat. Lab., Richland, WA; Pacific Northwest Nat. Lab., Richland, WA; Pacific Northwest Nat. Lab., Richland, WA","IEEE Transactions on Visualization and Computer Graphics","18 Sep 2006","2006","12","6","1399","1413","We present a visual analytics technique to explore graphs using the concept of a data signature. A data signature, in our context, is a multidimensional vector that captures the local topology information surrounding each graph node. Signature vectors extracted from a graph are projected onto a low-dimensional scatterplot through the use of scaling. The resultant scatterplot, which reflects the similarities of the vectors, allows analysts to examine the graph structures and their corresponding real-life interpretations through repeated use of brushing and linking between the two visualizations. The interpretation of the graph structures is based on the outcomes of multiple participatory analysis sessions with intelligence analysts conducted by the authors at the Pacific Northwest National Laboratory. The paper first uses three public domain data sets with either well-known or obvious features to explain the rationale of our design and illustrate its results. More advanced examples are then used in a customized usability study to evaluate the effectiveness and efficiency of our approach. The study results reveal not only the limitations and weaknesses of the traditional approach based solely on graph visualization, but also the advantages and strengths of our signature-guided approach presented in the paper.","1941-0506","","10.1109/TVCG.2006.92","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1703362","Data and knowledge visualization;information visualization;visualization techniques and methodologies;graphs and networks.","Visual analytics;Network topology;Scattering;Joining processes;Multidimensional systems;Data mining;Data visualization;Intelligent structures;Usability;Terminology","data visualisation;graph theory","Data and knowledge visualization;information visualization;visualization techniques and methodologies;graphs and networks.","Algorithms;Computer Graphics;Computer Simulation;Information Storage and Retrieval;Pattern Recognition, Automated;User-Computer Interface","25","1","38","IEEE","18 Sep 2006","","","IEEE","IEEE Journals"
"Mesh Layouts for Block-Based Caches","S. Yoon; P. Lindstrom",Lawrence Livermore National Laboratory; Lawrence Livermore National Laboratory,"IEEE Transactions on Visualization and Computer Graphics","20 Nov 2006","2006","12","5","1213","1220","Current computer architectures employ caching to improve the performance of a wide variety of applications. One of the main characteristics of such cache schemes is the use of block fetching whenever an uncached data element is accessed. To maximize the benefit of the block fetching mechanism, we present novel cache-aware and cache-oblivious layouts of surface and volume meshes that improve the performance of interactive visualization and geometric processing algorithms. Based on a general I/O model, we derive new cache-aware and cache-oblivious metrics that have high correlations with the number of cache misses when accessing a mesh. In addition to guiding the layout process, our metrics can be used to quantify the quality of a layout, e.g. for comparing different layouts of the same mesh and for determining whether a given layout is amenable to significant improvement. We show that layouts of unstructured meshes optimized for our metrics result in improvements over conventional layouts in the performance of visualization applications such as isosurface extraction and view-dependent rendering. Moreover, we improve upon recent cache-oblivious mesh layouts in terms of performance, applicability, and accuracy","1941-0506","","10.1109/TVCG.2006.162","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4015484","Mesh and graph layouts;cache-aware and cache-oblivious layouts;metrics for cache coherence;data locality.","Data visualization;Computer architecture;Application software;Isosurfaces;Data mining;Delay;Spatial coherence;Optimizing compilers;Pattern matching;Strips","cache storage;computational geometry;data visualisation;interactive systems;mesh generation","mesh layouts;block-based caches;computer architectures;block fetching;uncached data element;cache-aware layouts;cache-oblivious layouts;volume meshes;interactive visualization;geometric processing algorithms;unstructured meshes;isosurface extraction;view-dependent rendering","","25","","32","","20 Nov 2006","","","IEEE","IEEE Journals"
"Random-Accessible Compressed Triangle Meshes","S. Yoon; P. Lindstrom",Korea Advanced Institute of Science and Technology (KAIST); Lawrence Livermore National Laboratory,"IEEE Transactions on Visualization and Computer Graphics","5 Nov 2007","2007","13","6","1536","1543","With the exponential growth in size of geometric data, it is becoming increasingly important to make effective use of multilevel caches, limited disk storage, and bandwidth. As a result, recent work in the visualization community has focused either on designing sequential access compression schemes or on producing cache-coherent layouts of (uncompressed) meshes for random access. Unfortunately combining these two strategies is challenging as they fundamentally assume conflicting modes of data access. In this paper, we propose a novel order-preserving compression method that supports transparent random access to compressed triangle meshes. Our decompression method selectively fetches from disk, decodes, and caches in memory requested parts of a mesh. We also provide a general mesh access API for seamless mesh traversal and incidence queries. While the method imposes no particular mesh layout, it is especially suitable for cache-oblivious layouts, which minimize the number of decompression I/O requests and provide high cache utilization during access to decompressed, in-memory portions of the mesh. Moreover, the transparency of our scheme enables improved performance without the need for application code changes. We achieve compression rates on the order of 20:1 and significantly improved I/O performance due to reduced data transfer. To demonstrate the benefits of our method, we implement two common applications as benchmarks. By using cache-oblivious layouts for the input models, we observe 2-6 times overall speedup compared to using uncompressed meshes.","1941-0506","","10.1109/TVCG.2007.70585","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4376184","Mesh compression;random access;cache-coherent layouts;mesh data structures;external memory algorithms","Bandwidth;Data visualization;Data structures;Memory management;Delay;Space technology;Cache storage;Decoding;Computer displays;Computational modeling","application program interfaces;cache storage;computational geometry;mesh generation","cache-oblivious layout;data transfer;I/O request;API;novel order-preserving compression method;cache-coherent layout;sequential access compression scheme;disk storage;multilevel cache;random-accessible compressed triangle mesh","","25","1","44","","5 Nov 2007","","","IEEE","IEEE Journals"
"VIGOR: Interactive Visual Exploration of Graph Query Results","R. Pienta; F. Hohman; A. Endert; A. Tamersoy; K. Roundy; C. Gates; S. Navathe; D. H. Chau",NA; NA; NA; NA; NA; NA; NA; NA,"IEEE Transactions on Visualization and Computer Graphics","4 Dec 2017","2018","24","1","215","225","Finding patterns in graphs has become a vital challenge in many domains from biological systems, network security, to finance (e.g., finding money laundering rings of bankers and business owners). While there is significant interest in graph databases and querying techniques, less research has focused on helping analysts make sense of underlying patterns within a group of subgraph results. Visualizing graph query results is challenging, requiring effective summarization of a large number of subgraphs, each having potentially shared node-values, rich node features, and flexible structure across queries. We present VIGOR, a novel interactive visual analytics system, for exploring and making sense of query results. VIGOR uses multiple coordinated views, leveraging different data representations and organizations to streamline analysts sensemaking process. VIGOR contributes: (1) an exemplar-based interaction technique, where an analyst starts with a specific result and relaxes constraints to find other similar results or starts with only the structure (i.e., without node value constraints), and adds constraints to narrow in on specific results; and (2) a novel feature-aware subgraph result summarization. Through a collaboration with Symantec, we demonstrate how VIGOR helps tackle real-world problems through the discovery of security blindspots in a cybersecurity dataset with over 11,000 incidents. We also evaluate VIGOR with a within-subjects study, demonstrating VIGOR's ease of use over a leading graph database management system, and its ability to help analysts understand their results at higher speed and make fewer errors.","1941-0506","","10.1109/TVCG.2017.2744898","NSF IGERT(grant numbers:1258425); NSF(grant numbers:IIS-1563816,TWC-1526254,IIS-1217559); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8019832","graph querying;subgraph results;query result visualization","Data visualization;Logic gates;Computer security;Database systems;Data mining;Visualization","data mining;data structures;database management systems;graph theory;query processing","interaction technique;node value constraints;leading graph database management system;interactive visual exploration;graph query results;biological systems;graph databases;potentially shared node-values;interactive visual analytics system;analyst sensemaking process;feature-aware subgraph result summarization;VIGOR","","25","","49","IEEE","29 Aug 2017","","","IEEE","IEEE Journals"
"Coherent Time-Varying Graph Drawing with Multifocus+Context Interaction","K. Feng; C. Wang; H. Shen; T. Lee","National Cheng Kung University, Tainan; Michigan Technological University, Houghton; The Ohio State University, Columbus; National Cheng Kung University, Tainan","IEEE Transactions on Visualization and Computer Graphics","11 Jun 2012","2012","18","8","1330","1342","We present a new approach for time-varying graph drawing that achieves both spatiotemporal coherence and multifocus+context visualization in a single framework. Our approach utilizes existing graph layout algorithms to produce the initial graph layout, and formulates the problem of generating coherent time-varying graph visualization with the focus+context capability as a specially tailored deformation optimization problem. We adopt the concept of the super graph to maintain spatiotemporal coherence and further balance the needs for aesthetic quality and dynamic stability when interacting with time-varying graphs through focus+context visualization. Our method is particularly useful for multifocus+context visualization of time-varying graphs where we can preserve the mental map by preventing nodes in the focus from undergoing abrupt changes in size and location in the time sequence. Experiments demonstrate that our method strikes a good balance between maintaining spatiotemporal coherence and accentuating visual foci, thus providing a more engaging viewing experience for the users.","1941-0506","","10.1109/TVCG.2011.128","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5963661","Graph drawing;time-varying graphs;spatiotemporal coherence;focus+context visualization.","Layout;Visualization;Context;Heuristic algorithms;Coherence;Data visualization;Spatiotemporal phenomena","graph theory;optimisation","coherent time-varying graph drawing;multifocus+context interaction;spatiotemporal coherence;multifocus+context visualization;graph layout algorithms;coherent time-varying graph visualization;focus+context capability;deformation optimization problem;aesthetic quality;dynamic stability;focus+context visualization;visual foci","","24","","32","","28 Jul 2011","","","IEEE","IEEE Journals"
"Drawing directed graphs using quadratic programming","T. Dwyer; Y. Koren; K. Marriott","Clayton Sch. of Inf. Technol., Monash Univ., Clayton, Vic., Australia; NA; NA","IEEE Transactions on Visualization and Computer Graphics","5 Jun 2006","2006","12","4","536","548","We describe a new method for visualization of directed graphs. The method combines constraint programming techniques with a high performance force-directed placement (FDP) algorithm. The resulting placements highlight hierarchy in directed graphs while retaining useful properties of FDP; such as emphasis of symmetries and preservation of proximity relations. Our algorithm automatically identifies those parts of the digraph that contain hierarchical information and draws them accordingly. Additionally, those parts that do not contain hierarchy are drawn at the same quality expected from a nonhierarchical, undirected layout algorithm. Our experiments show that this new approach is better able to convey the structure of large digraphs than the most widely used hierarchical graph-drawing method. An interesting application of our algorithm is directional multidimensional scaling (DMDS). DMDS deals with low-dimensional embedding of multivariate data where we want to emphasize the overall flow in the data (e.g., chronological progress) along one of the axes.","1941-0506","","10.1109/TVCG.2006.67","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1634319","Directed graphs;graph drawing;hierarchy;force directed algorithms;majorization;quadratic programming.","Quadratic programming;Visualization;Multidimensional systems;Algorithm design and analysis;Application software;Partitioning algorithms","directed graphs;quadratic programming;constraint handling;data visualisation;computational geometry","directed graph visualization;quadratic programming;constraint programming techniques;force-directed placement algorithm;digraph;undirected layout algorithm;directional multidimensional scaling;multivariate data;directed graph drawing","Computer Graphics;Computer Simulation;Data Display;Databases, Factual;Image Interpretation, Computer-Assisted;Information Storage and Retrieval;Linear Models;User-Computer Interface","24","1","26","","5 Jun 2006","","","IEEE","IEEE Journals"
"ViSizer: A Visualization Resizing Framework","Y. Wu; X. Liu; S. Liu; K. Ma","University of California, Davis, Davis; Microsoft Research Asia, Beijing; Microsoft Research Asia, Beijing; University of California, Davis, Davis","IEEE Transactions on Visualization and Computer Graphics","10 Dec 2012","2013","19","2","278","290","Visualization resizing is useful for many applications where users may use different display devices. General resizing techniques (e.g., uniform scaling) and image-resizing techniques suffer from several drawbacks, as they do not consider the content of the visualizations. This work introduces ViSizer, a perception-based framework for automatically resizing a visualization to fit any display. We formulate an energy function based on a perception model (feature congestion), which aims to determine the optimal deformation for every local region. We subsequently transform the problem into an optimization problem by the energy function. An efficient algorithm is introduced to iteratively solve the problem, allowing for automatic visualization resizing.","1941-0506","","10.1109/TVCG.2012.114","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6189339","Resizing;visualization framework;perception;focus+context;nonlinear least squares optimization","Visualization;Clutter;Data visualization;Optimization;Context;Layout;Ellipsoids","data visualisation;display devices;image processing;least squares approximations;optimisation","ViSizer;visualization resizing framework;display device;general resizing technique;uniform scaling;image-resizing technique;perception-based framework;energy function;perception model;feature congestion;optimal deformation;optimization problem;nonlinear least squares optimization","","24","3","38","","24 Apr 2012","","","IEEE","IEEE Journals"
"CUBu: Universal Real-Time Bundling for Large Graphs","M. van der Zwan; V. Codreanu; A. Telea","University of Groningen, The Netherlands; SURFsara, Amsterdam, The Netherlands; University of Groningen, The Netherlands","IEEE Transactions on Visualization and Computer Graphics","26 Oct 2016","2016","22","12","2550","2563","Visualizing very large graphs by edge bundling is a promising method, yet subject to several challenges: speed, clutter, level-of-detail, and parameter control. We present CUBu, a framework that addresses the above problems in an integrated way. Fully GPU-based, CUBu bundles graphs of up to a million edges at interactive framerates, being over 50 times faster than comparable state-of-the-art methods, and has a simple and intuitive control of bundling parameters. CUBu extends and unifies existing bundling techniques, offering ways to control bundle shapes, separate bundles by edge direction, and shade bundles to create a level-of-detail visualization that shows both the graph core structure and its details. We demonstrate CUBu on several large graphs extracted from real-life application domains.","1941-0506","","10.1109/TVCG.2016.2515611","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7374742","Computing methodologies: computer graphics-picture/image generation;Computing methodologies: Computer graphics-methodology and techniques","Image edge detection;Computer graphics;Real-time systems;Scalability;Graphics processing units;Scattering","computational geometry;data visualisation;edge detection;parallel architectures","CUBu bundled image;CUDA-based universal bundling;universal real-time bundling;large graphs visualization;speed;clutter;level-of-detail;parameter control;interactive framerates;intuitive control;bundling parameters;edge direction;graph core structure;computational scalability;bundles geometry","","23","","54","IEEE","7 Jan 2016","","","IEEE","IEEE Journals"
"LOD Map - A Visual Interface for Navigating Multiresolution Volume Visualization","C. Wang; H. Shen","Department of Computer Science and Engineering, The Ohio State University, 395 Dreese Laboratories, Columbus, OH; Department of Computer Science and Engineering, The Ohio State University, 395 Dreese Laboratories, Columbus, OH","IEEE Transactions on Visualization and Computer Graphics","20 Nov 2006","2006","12","5","1029","1036","In multiresolution volume visualization, a visual representation of level-of-detail (LOD) quality is important for us to examine, compare, and validate different LOD selection algorithms. While traditional methods rely on ultimate images for quality measurement, we introduce the LOD map - an alternative representation of LOD quality and a visual interface for navigating multiresolution data exploration. Our measure for LOD quality is based on the formulation of entropy from information theory. The measure takes into account the distortion and contribution of multiresolution data blocks. A LOD map is generated through the mapping of key LOD ingredients to a treemap representation. The ordered treemap layout is used for relative stable update of the LOD map when the view or LOD changes. This visual interface not only indicates the quality of LODs in an intuitive way, but also provides immediate suggestions for possible LOD improvement through visually-striking features. It also allows us to compare different views and perform rendering budget control. A set of interactive techniques is proposed to make the LOD adjustment a simple and easy task. We demonstrate the effectiveness and efficiency of our approach on large scientific and medical data sets","1941-0506","","10.1109/TVCG.2006.159","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4015461","LOD map;knowledge representation;perceptual reasoning;multiresolution rendering;large volume visualization Author 1:","Navigation;Data visualization;Distortion measurement;Rendering (computer graphics);Signal resolution;Image resolution;Chaos;Entropy;Information theory;Biomedical imaging","data visualisation;graphical user interfaces;image resolution;rendering (computer graphics);trees (mathematics)","LOD map;visual interface;navigation;multiresolution volume visualization;visual representation;level-of-detail quality;entropy measure;information theory;treemap representation;medical data set","Algorithms;Computer Graphics;Diagnostic Imaging;Image Enhancement;Image Interpretation, Computer-Assisted;Imaging, Three-Dimensional;Information Storage and Retrieval;Models, Anatomic;User-Computer Interface;Visible Human Projects","23","","28","","20 Nov 2006","","","IEEE","IEEE Journals"
"SLAMCast: Large-Scale, Real-Time 3D Reconstruction and Streaming for Immersive Multi-Client Live Telepresence","P. Stotko; S. Krumpen; M. B. Hullin; M. Weinmann; R. Klein",University of Bonn; University of Bonn; University of Bonn; University of Bonn; University of Bonn,"IEEE Transactions on Visualization and Computer Graphics","27 Mar 2019","2019","25","5","2102","2112","Real-time 3D scene reconstruction from RGB-D sensor data, as well as the exploration of such data in VR/AR settings, has seen tremendous progress in recent years. The combination of both these components into telepresence systems, however, comes with significant technical challenges. All approaches proposed so far are extremely demanding on input and output devices, compute resources and transmission bandwidth, and they do not reach the level of immediacy required for applications such as remote collaboration. Here, we introduce what we believe is the first practical client-server system for real-time capture and many-user exploration of static 3D scenes. Our system is based on the observation that interactive frame rates are sufficient for capturing and reconstruction, and real-time performance is only required on the client site to achieve lag-free view updates when rendering the 3D model. Starting from this insight, we extend previous voxel block hashing frameworks by introducing a novel thread-safe GPU hash map data structure that is robust under massively concurrent retrieval, insertion and removal of entries on a thread level. We further propose a novel transmission scheme for volume data that is specifically targeted to Marching Cubes geometry reconstruction and enables a 90% reduction in bandwidth between server and exploration clients. The resulting system poses very moderate requirements on network bandwidth, latency and client-side computation, which enables it to rely entirely on consumer-grade hardware, including mobile devices. We demonstrate that our technique achieves state-of-the-art representation accuracy while providing, for any number of clients, an immersive and fluid lag-free viewing experience even during network outages.","1941-0506","","10.1109/TVCG.2019.2899231","DFG projects KL(grant numbers:KL 1142/11-1,KL 1142/9-2); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8643537","Remote collaboration;live telepresence;real-time reconstruction;voxel hashing;RGB-D;real-time streaming","Three-dimensional displays;Real-time systems;Telepresence;Collaboration;Bandwidth;Servers;Hardware","augmented reality;client-server systems;data structures;graphics processing units;image reconstruction;multi-threading;rendering (computer graphics);solid modelling;telecontrol","network bandwidth;client-side computation;immersive lag-free viewing experience;fluid lag-free viewing experience;real-time 3D reconstruction;immersive multiclient live telepresence;real-time 3D scene reconstruction;RGB-D sensor data;VR/AR settings;telepresence systems;transmission bandwidth;remote collaboration;real-time capture;many-user exploration;static 3D scenes;interactive frame rates;lag-free view updates;thread level;transmission scheme;client-server system;marching cubes geometry reconstruction;thread-safe GPU hash map data structure;SLAMCast;rendering;3D model;voxel block hashing framework","Computer Communication Networks;Humans;Imaging, Three-Dimensional;Videoconferencing","23","","53","IEEE","17 Feb 2019","","","IEEE","IEEE Journals"
"Supporting the Visual Analysis of Dynamic Networks by Clustering associated Temporal Attributes","S. Hadlak; H. Schumann; C. H. Cap; T. Wollenberg",University of Rostock; University of Rostock; University of Rostock; University of Rostock,"IEEE Transactions on Visualization and Computer Graphics","16 Oct 2013","2013","19","12","2267","2276","The visual analysis of dynamic networks is a challenging task. In this paper, we introduce a new approach supporting the discovery of substructures sharing a similar trend over time by combining computation, visualization and interaction. With existing techniques, their discovery would be a tedious endeavor because of the number of nodes, edges as well as time points to be compared. First, on the basis of the supergraph, we therefore group nodes and edges according to their associated attributes that are changing over time. Second, the supergraph is visualized to provide an overview of the groups of nodes and edges with similar behavior over time in terms of their associated attributes. Third, we provide specific interactions to explore and refine the temporal clustering, allowing the user to further steer the analysis of the dynamic network. We demonstrate our approach by the visual analysis of a large wireless mesh network.","1941-0506","","10.1109/TVCG.2013.198","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6634085","Time series analysis;Market research;Image color analysis;Power system dynamics;Current measurement;Time measurement;supergraph clustering;Dynamic networks;visualization","Time series analysis;Market research;Image color analysis;Power system dynamics;Current measurement;Time measurement","data analysis;data visualisation;graph theory;pattern clustering;telecommunication computing;wireless mesh networks","dynamic networks;visual analysis;temporal attribute clustering;substructure discovery;supergraph visualization;node groups;edge groups;temporal clustering;wireless mesh network","Algorithms;Computer Communication Networks;Computer Graphics;Computer Simulation;Models, Theoretical;Subtraction Technique;User-Computer Interface;Wireless Technology","23","1","34","","16 Oct 2013","","","IEEE","IEEE Journals"
"A Radial Adaptation of the Sugiyama Framework for Visualizing Hierarchical Information","C. Bachmaier","Fakultat fur Mathematik und Informatik, Passau Univ.","IEEE Transactions on Visualization and Computer Graphics","4 Sep 2007","2007","13","3","583","594","In radial drawings of hierarchical graphs, the vertices are placed on concentric circles rather than on horizontal lines and the edges are drawn as outward monotone segments of spirals rather than straight lines as it is done in the standard Sugiyama framework. This drawing style is well suited for the visualization of centrality in social networks and similar concepts. Radial drawings also allow a more flexible edge routing than horizontal drawings, as edges can be routed around the center in two directions. In experimental results, this reduces the number of crossings by approximately 30 percent on average. Few crossings are one of the major criteria for human readability. This paper is a detailed description of a complete framework for visualizing hierarchical information in a new radial fashion. Particularly, we briefly cover extensions of the level assignment step to benefit from the increasing perimeters of the circles, present three heuristics for crossing reduction in radial level drawings, and also show how to visualize the results","1941-0506","","10.1109/TVCG.2007.1000","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4297689","Graph drawing;radial;crossing reduction;Sugiyama framework;spiral segments.","Spirals;Social network services;Data visualization;Tree graphs;Routing;Humans;Web pages","computational geometry;data visualisation;graph theory","Sugiyama framework;hierarchical information visualization;hierarchical graph radial drawings","","22","","34","","4 Sep 2007","","","IEEE","IEEE Journals"
"Ambiguity-Free Edge-Bundling for Interactive Graph Visualization","S. Luo; C. Liu; B. Chen; K. Ma","National Taiwan University, Taipei; National Taiwan University, Taipei; National Taiwan University, Taipei; University of California at Davis, Davis","IEEE Transactions on Visualization and Computer Graphics","15 Mar 2012","2012","18","5","810","821","Graph visualization has been widely used to understand and present both global structural and local adjacency information in relational data sets (e.g., transportation networks, citation networks, or social networks). Graphs with dense edges, however, are difficult to visualize because fast layout and good clarity are not always easily achieved. When the number of edges is large, edge bundling can be used to improve the clarity, but in many cases, the edges could be still too cluttered to permit correct interpretation of the relations between nodes. In this paper, we present an ambiguity-free edge-bundling method especially for improving local detailed view of a complex graph. Our method makes more efficient use of display space and supports detail-on-demand viewing through an interactive interface. We demonstrate the effectiveness of our method with public coauthorship network data.","1941-0506","","10.1109/TVCG.2011.104","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5887331","Graph visualization;network visualization;edge ambiguity;edge congestion;edge bundling;detail-on-demand;interactive navigation.","Image edge detection;Visualization;Layout;Clutter;Data visualization;Routing;Social network services","data visualisation;graph theory","ambiguity-free edge-bundling method;interactive graph visualization;global structural adjacency information;local adjacency information;relational data set;complex graph;display space;detail-on-demand viewing;interactive interface;public coauthorship network data;transportation network;citation network;social network;dense graph edge","","22","3","33","","16 Jun 2011","","","IEEE","IEEE Journals"
"Analysis and Visualization of Discrete Fracture Networks Using a Flow Topology Graph","G. Aldrich; J. D. Hyman; S. Karra; C. W. Gable; N. Makedonska; H. Viswanathan; J. Woodring; B. Hamann","Data Science at Scale Division, (CCS-7), Los Alamos National Laboratory, Los Alamos, NM; Earth and Environmental Sciences Division, (EES-16), Los Alamos National Laboratory, Los Alamos, NM; Earth and Environmental Sciences Division, (EES-16), Los Alamos National Laboratory, Los Alamos, NM; Earth and Environmental Sciences Division, (EES-16), Los Alamos National Laboratory, Los Alamos, NM; Earth and Environmental Sciences Division, (EES-16), Los Alamos National Laboratory, Los Alamos, NM; Earth and Environmental Sciences Division, (EES-16), Los Alamos National Laboratory, Los Alamos, NM; Data Science at Scale Division, (CCS-7), Los Alamos National Laboratory, Los Alamos, NM; Department of Computer Science, Institute for Data Analysis and Visualization, University of California, Davis, CA","IEEE Transactions on Visualization and Computer Graphics","28 Jun 2017","2017","23","8","1896","1909","We present an analysis and visualization prototype using the concept of a flow topology graph (FTG) for characterization of flow in constrained networks, with a focus on discrete fracture networks (DFN), developed collaboratively by geoscientists and visualization scientists. Our method allows users to understand and evaluate flow and transport in DFN simulations by computing statistical distributions, segment paths of interest, and cluster particles based on their paths. The new approach enables domain scientists to evaluate the accuracy of the simulations, visualize features of interest, and compare multiple realizations over a specific domain of interest. Geoscientists can simulate complex transport phenomena modeling large sites for networks consisting of several thousand fractures without compromising the geometry of the network. However, few tools exist for performing higher-level analysis and visualization of simulated DFN data. The prototype system we present addresses this need. We demonstrate its effectiveness for increasingly complex examples of DFNs, covering two distinct use cases - hydrocarbon extraction from unconventional resources and transport of dissolved contaminant from a spent nuclear fuel repository.","1941-0506","","10.1109/TVCG.2016.2582174","Los Alamos National Laboratory - UC Davis Institute of Next-generation Visualization and Analysis (INGVA)(grant numbers:211060-1); LANL Laboratory Directed Research and Development (LDRD)(grant numbers:20140002DR); Los Alamos National Laboratory; LDRD Director's Postdoctoral Fellowship(grant numbers:#20150763PRD4); U.S. Department of Energy Strategic Center for Natural Gas and Oil project; Fundamentals of Unconventional Reservoirs; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7494624","Fracture network flow analysis and visualization;flow topology graph;topological path analysis;topological trace clustering;flow in fractured rock;discrete fracture network","Data visualization;Topology;Analytical models;Network topology;Trajectory;Computational modeling;Geometry","data visualisation;graph theory;statistical distributions","discrete fracture networks;flow topology graph;visualization prototype;FTG;geoscientists;visualization scientists;statistical distributions;simulated DFN data;hydrocarbon extraction;nuclear fuel repository","","22","","39","USGov","20 Jun 2016","","","IEEE","IEEE Journals"
"Clique Community Persistence: A Topological Visual Analysis Approach for Complex Networks","B. Rieck; U. Fugacci; J. Lukasczyk; H. Leitte",TU Kaiserslautern; TU Kaiserslautern; TU Kaiserslautern; TU Kaiserslautern,"IEEE Transactions on Visualization and Computer Graphics","4 Dec 2017","2018","24","1","822","831","Complex networks require effective tools and visualizations for their analysis and comparison. Clique communities have been recognized as a powerful concept for describing cohesive structures in networks. We propose an approach that extends the computation of clique communities by considering persistent homology, a topological paradigm originally introduced to characterize and compare the global structure of shapes. Our persistence-based algorithm is able to detect clique communities and to keep track of their evolution according to different edge weight thresholds. We use this information to define comparison metrics and a new centrality measure, both reflecting the relevance of the clique communities inherent to the network. Moreover, we propose an interactive visualization tool based on nested graphs that is capable of compactly representing the evolving relationships between communities for different thresholds and clique degrees. We demonstrate the effectiveness of our approach on various network types.","1941-0506","","10.1109/TVCG.2017.2744321","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8017588","Persistent homology;topological persistence;cliques;complex networks;visual analysis","Tools;Complex networks;Visualization;Layout;Algorithm design and analysis;Shape;Transmission line matrix methods","complex networks;data analysis;data visualisation;graph theory;network theory (graphs)","clique community persistence;topological visual analysis approach;complex networks;interactive visualization tool;clique degrees;network types;cohesive structures;nested graphs","","22","","49","IEEE","29 Aug 2017","","","IEEE","IEEE Journals"
