Name,Added,Citation issue,DOI,Graph feature,Authors,Dataset used,Dataset tag,Evaluation qual/quant,Evaluation type,Notes,link,year,paper type,dataset size,Conference,Technique,samples sum
"A Note on the Practicality of Maximal Planar
Subgraph Algorithms",No,No,https://doi.org/10.1007/978-3-319-50106-2_28,,,"Rome, North, SteinLib, Baal, Regular (random)","North Lib, Rome-Lib, SteinLib, custom (random)",quantitative,aggregate,"steinlib: http://steinlib.zib.de/steinlib.php

baal: generated with BarabasiAlbertGenerator of the java universal network/graph framework. http://
jung.sourceforge.net

regular: Steger, A., Wormald, N.C.: Generating random regular graphs quickly. Comb.
Probab. Comput. 8(4), 377–396 (1999)",https://link.springer.com/content/pdf/10.1007%2F978-3-319-50106-2.pdf,2016,comparison,9558,GD 2016,,9558
Bitonic st-orderings for Upward Planar Graphs,No,No,https://doi.org/10.1007/978-3-319-50106-2_18,"planar, st-graphs",,no experiment,,,,"validates through proof
bitonic = sorting algorithm that’s common for networks",https://link.springer.com/content/pdf/10.1007%2F978-3-319-50106-2.pdf,2016,algorithm,,GD 2016,,
Compact Layered Drawings of General Directed Graphs,No,No,https://doi.org/10.1007/978-3-319-50106-2_17,"Layered graphs, many layers",,AT&T (subsection),"North Lib, custom (random)",quantitative,aggregate,,https://link.springer.com/content/pdf/10.1007%2F978-3-319-50106-2.pdf,2016,algorithm,486,GD 2016,,486
A Generalization of the Directed Graph Layering Problem,No,No,https://doi.org/10.1007/978-3-319-50106-2_16,"Layered graphs, many layers",,"North Lib but a subset (at least 20 nodes with aspect ratio below .5 ??) - removed plain pats, pairs of nodes connected with 1 edge, and trees","North Lib, custom (random)",quantitative,aggregate,,https://link.springer.com/content/pdf/10.1007%2F978-3-319-50106-2.pdf,2016,algorithm,146 + 160,GD 2016,,146
Placing Arrows in Directed Graph Drawings,No,No,https://doi.org/10.1007/978-3-319-50106-2_4,"Directed graphs, large",,"custom (random), AT&T (North graphs)","North Lib, custom (random)",quantitative,aggregate,"talks about arrow placement
→ large: not really, up to 500",https://link.springer.com/content/pdf/10.1007%2F978-3-319-50106-2.pdf,2016,"algorithm, comparison",1275 + 60,GD 2016,,1275
Node Overlap Removal by Growing a Tree,No,No,https://doi.org/10.7155/jgaa.00442,large,,,"custom (random), graphviz examples",quantitative,"visual, aggregate",,https://link.springer.com/content/pdf/10.1007%2F978-3-319-50106-2.pdf,2016,"algorithm, comparison",14,GD 2016,,14
A Sparse Stress Model,No,No,http://dx.doi.org/10.7155/jgaa.00440,large,,sparse matrix collection,,quantitative,"aggregate, visual",source for dataset: http://www.cise.ufl.edu/research/sparse/matrices,https://link.springer.com/content/pdf/10.1007%2F978-3-319-50106-2.pdf,2016,algorithm,13,GD 2016,,13
A Distributed Multilevel Force-Directed Algorithm,No,No,https://doi.org/10.1109/TPDS.2018.2869805,large,,,"Network Data Repository, SNAP",quantitative,visual,source for dataset 2: https://networkrepository.com/,https://link.springer.com/content/pdf/10.1007%2F978-3-319-50106-2.pdf,2016,algorithm,51,GD 2016,,51
Crossing Minimization in Storyline Visualization,No,No,10.1007/978-3-319-50106-2_29,"Layered graphs, dynamic, temporal event sequence","Martin Gronemann, Michael Jünger, Frauke Liers, Francesco Mambelli",movie plots (lost),"Stanford GraphBase, movie plots",quantitative,"visual, quantitative individual",good evaluation,https://link.springer.com/content/pdf/10.1007%2F978-3-319-50106-2.pdf,2016,algorithm,44,GD 2016,ILP,44
Drawing Dynamic Graphs Without Timeslices,No,No,https://doi.org/10.1007/978-3-319-73915-1_31,dynamic,,"infovis coauthorship, van de bunt, newcomb fraternity data, rugby, pride and prejudice",,quantitative,not really visual,"Dataset sources: 

InfoVis Co-Authorship (Discrete): a co-authorship network for papers published
in the InfoVis conference from 1995 to 2015 [1]. Authors collaborating on a paper
are connected in a clique at the time of publication of the paper. Note this is
not a cumulative network as authors can appear, disappear, and appear again.
The data is of discrete nature with exactly 21 timeslices (one per year).
Van De Bunt (Discrete): shows the relationships between 32 freshmen at
seven different time points. A discrete dynamic graph is built using the method
of Brandes et al. [9], with an undirected edge inserted into a timeslice if the
participants reciprocally report “best friendship” or “friendship” at that time.
Newcomb Fraternity Data (Discrete): contains the sociometric preference of
17 members of a fraternity in the University of Michigan in the fall of 1956 [39].
As in previous work [9], at each timeslice, we inserted undirected edges connect-
ing students to their three best friends.
Rugby (Continuous): is a network derived from over 3,000 tweets involving
teams in the Guinness Pro12 rugby competition. The tweets were posted between
09.01.2014 and 10.23.2015. Each tweet contains information about the involved
teams and the time of publication with a precision down to the second.
Pride and Prejudice (Continuous): lists the dialogues between characters in
the novel Pride and Prejudice in order [29]. The book has 61 chapters and the
data set includes over 4,000 interactions between characters.",https://link.springer.com/content/pdf/10.1007%2F978-3-319-73915-1.pdf,2017,"algorithm, comparison",5,GD 2017,,5
"MLSEB: Edge Bundling Using Moving Least
Squares Approximation",No,No,https://doi.org/10.1007/978-3-319-73915-1_30,spatial,,"Airlines - US airlines, US migrations, France airlines, large US migrations",,quantitative,visual,"edge bundling algorithm
- does not precisely list the source of the data 
- pretty large dataset and maybe the enron dataset would be fitting for edge bundling techniques too",https://link.springer.com/content/pdf/10.1007%2F978-3-319-73915-1.pdf,2017,algorithm,4,GD 2017,,4
"Computing Storyline Visualizations
with Few Block Crossings",No,No,https://doi.org/10.1007/978-3-319-73915-1_29,"Layered graphs, groups, temporal event sequence",,movie plots,"custom, movie plots",,"visual, aggregate","description of how the custom dataset was generated: 

Random Instances. We test using random instances of two kinds. The first are
uniform instances and these are the same as in previous work [3]. First, pick κ,
n, and a probability p. (We report here on p = 0.5.) Then generate a meeting
by picking, independently at random with probability p, whether each character
is in the meeting. Reject meetings with fewer than two characters, and repeat
until there are n meetings. We let all characters be alive at all times, so we can
run all three algorithms.",https://link.springer.com/content/pdf/10.1007%2F978-3-319-73915-1.pdf,2017,algorithm,103,GD 2017,,103
Anisotropic Radial Layout for Visualizing Centrality and Structure in Graphs,No,No,https://doi.org/10.1007/978-3-319-73915-1_28,,,"Zachary’s karate club , Terrorist network Rodr ́ıguez, J.A., Rodr ́ıguez, J.A.: The March 11th terrorist network: in its weakness
lies its strength (2005), Les Miserables (stanford graph base )","Stanford GraphBase, Terrorist Network, Zachary's karate club",,visual,both evaluations are case studies,https://link.springer.com/content/pdf/10.1007%2F978-3-319-73915-1.pdf,2017,algorithm,3,GD 2017,,3
Visualizing Co-phylogenetic Reconciliations,No,No,https://doi.org/10.1007/978-3-319-73915-1_27,binary trees,,"Eucalypt tool (Donati, B., Baudet, C., Sinaimeri, B., Crescenzi, P., Sagot, M.F.: EUCALYPT:
efficient tree reconciliation enumerator. Algorithms Mol. Biol. 10(1), 3 (2015)), trees from a bioinfromatics journal (Wieseke, N., Hartmann, T., Bernt, M., Middendorf, M.: Cophylogenetic reconcil-
iation with ILP. IEEE/ACM Trans. Comput. Biol. Bioinform. 12(6), 1227–1235
(2015))",,quantitative,,,https://link.springer.com/content/pdf/10.1007%2F978-3-319-73915-1.pdf,2017,algorithm,16,GD 2017,,16
"Drawing Big Graphs Using Spectral
Sparsification",No,No,https://doi.org/10.1007/978-3-319-73915-1_22,large,,"Hachul library, Walshaw’s Graph Partitioning Archive (sparse matrices (Davis, T.A., Hu, Y.: The University of Florida sparse matrix collection. ACM
Trans. Math. Softw. 38(1), 1:1–1:25 (2011)), network repository (http://networkrepository.com/)), GION dataset (https://doi.org/10.1007/978-3-662-45803-7_10), custom","C. Walshaw's graph collection, GION, custom (random)",,"visual, aggregate",some discussion about metrics,https://link.springer.com/content/pdf/10.1007%2F978-3-319-73915-1.pdf,2017,algorithm,26,GD 2017,,26
?? Visual Similarity Perception of Directed Acyclic Graphs,No,No,https://doi.org/10.7155/jgaa.00467,DAG,,custom,custom,,aggregate,user study,https://link.springer.com/content/pdf/10.1007%2F978-3-319-73915-1.pdf,2017,quality metrics,69,GD 2017,,69
Experimental Evaluation of Book Drawing Algorithms,No,No,https://doi.org/10.1007/978-3-319-73915-1_19,book embedding,,custom,custom,,aggregate,bunch of features in benchmark graphs described in section 3 - not proper graph features though,https://link.springer.com/content/pdf/10.1007%2F978-3-319-73915-1.pdf,2017,comparison,1800,GD 2017,,1800
"?? Drawing Bobbin Lace Graphs, or, Fundamental Cycles",No,No,https://doi.org/10.1007/978-3-319-73915-1_12,,,no experiment,none,,,,https://link.springer.com/content/pdf/10.1007%2F978-3-319-73915-1.pdf,2017,"algorithm, proof",,GD 2017,,
?? Experimental Analysis of the Accessibility of Drawings with Few Segments,No,No,https://doi.org/10.7155/jgaa.00474,,,Rome-Lib,Rome-Lib,,aggregate,,https://link.springer.com/content/pdf/10.1007%2F978-3-319-73915-1.pdf,2017,"comparison, quality metrics",92,GD 2017,,92
An Interactive Tool to Explore and Improve the Ply Number of Drawings,No,No,https://doi.org/10.1007/978-3-319-73915-1_4,,,"Rome-Lib (subset), custom (random), FM3data (from another paper)","FM3data, Rome-Lib, custom (random)",,aggregate,FM3 data from https://link.springer.com/chapter/10.1007/978-3-319-53925-6_11,https://link.springer.com/content/pdf/10.1007%2F978-3-319-73915-1.pdf,2017,"comparison, tool",1094 + 100 + 100?,GD 2017,,1094
? Algorithms and Bounds for Drawing Directed Graphs,No,No,https://doi.org/10.1007/978-3-030-04414-5_41,"Layered graphs, many layers",,no experiment,none,,,,https://link.springer.com/content/pdf/10.1007%2F978-3-030-04414-5.pdf,2018,"algorithm, proof",,GD 2018,,
Bend-Minimum Orthogonal Drawings in Quadratic Time,No,No,https://doi.org/10.1007/978-3-030-04414-5_34,SPQR trees,,no experiment,none,,,,https://link.springer.com/content/pdf/10.1007%2F978-3-030-04414-5.pdf,2018,"algorithm, proof",,GD 2018,,
"* ?? Same Stats, Different Graphs
(Graph Statistics and Why We Need Graph Drawings)",No,No,https://doi.org/10.1007/978-3-030-04414-5_33,,,"custom ",custom,,aggregate,data analysis here: http://vader.lab.asu.edu/GraphAnalytics/,https://link.springer.com/content/pdf/10.1007%2F978-3-030-04414-5.pdf,2018,graph stats,4950 + 274668 + 100000,GD 2018,,4950
Network Alignment by Discrete Ollivier-Ricci Flow,No,No,https://doi.org/10.1007/978-3-030-04414-5_32,,,custom (random),custom (random),,aggregate,they start from a single graph with 1000 nodes and generate the second one by removing few nodes from the original graph,https://link.springer.com/content/pdf/10.1007%2F978-3-030-04414-5.pdf,2018,"algorithm, comparison",2,GD 2018,,2
? Perception of Symmetries in Drawings of Graphs,No,No,https://doi.org/10.1007/978-3-030-04414-5_31,,,,,,,this paper is a qualitative evaluation of how well symmetry works for perception. Not sure it fits with the other evaluations.,https://link.springer.com/content/pdf/10.1007%2F978-3-030-04414-5.pdf,2018,quality metrics,,GD 2018,,
?? Monotone Drawings of k-Inner Planar Graphs,No,No,https://doi.org/10.1007/978-3-030-04414-5_24,k-inner planar graph,,no experiment,none,,,,https://link.springer.com/content/pdf/10.1007%2F978-3-030-04414-5.pdf,2018,"algorithm, proof",,GD 2018,,
A Greedy Heuristic for Crossing-Angle Maximization,No,No,https://doi.org/10.1007/978-3-030-04414-5_20,,,"North Lib, Rome-Lib, Community (generated), 1-planar (custom generated), tri+x (randomly generated)","North Lib, Rome-Lib, custom, custom (random)",,aggregate,nice evaluation,https://link.springer.com/content/pdf/10.1007%2F978-3-030-04414-5.pdf,2018,algorithm,600,GD 2018,,600
Drawings of Graphs with High Crossing Resolution,No,No,https://doi.org/10.1007/978-3-030-04414-5_19,,,"Rome-Lib (non-planar), AT&T → in extended paper version","North Lib, Rome-Lib",,aggregate,"nice evaluation, can use pictures from here",https://link.springer.com/content/pdf/10.1007%2F978-3-030-04414-5.pdf,2018,algorithm,8100,GD 2018,,8100
?? Crossing Minimization in Perturbed Drawings,No,No,https://doi.org/10.1007/978-3-030-04414-5_16,,,no experiment,none,,,mainly proof with an algorithm inside?,https://link.springer.com/content/pdf/10.1007%2F978-3-030-04414-5.pdf,2018,"algorithm, proof",,GD 2018,,
Horizontal Coordinate Assignment with Prescribed Width,No,No,https://doi.org/10.1007/978-3-030-04414-5_13,"Layered graphs, hierarchical, many layers",,AT&T (subset),North Lib,,aggregate,"10 to 100 nodes per graph, restricts width of layout, compares against Gansner",https://link.springer.com/content/pdf/10.1007%2F978-3-030-04414-5.pdf,2018,algorithm,1277,GD 2018,,1277
? Aesthetic Discrimination of Graph Layouts,No,No,https://doi.org/10.1007/978-3-030-04414-5_12,,,"Rome-Lib, North Lib, Random DAG, Matrix Market, custom","Matrix Market, North Lib, Random DAG, Rome-Lib, custom",,"visual, aggregate",machine learning,https://link.springer.com/content/pdf/10.1007%2F978-3-030-04414-5.pdf,2018,quality metrics,36000,GD 2018,,36000
Visualizing the Template of a Chaotic Attractor,No,No,https://doi.org/10.1007/978-3-030-04414-5_8,chaotic attractor,,custom,custom,,aggregate,link to tool: https://gitlab.uni.lu/pcog/cate,https://link.springer.com/content/pdf/10.1007%2F978-3-030-04414-5.pdf,2018,algorithm,168,GD 2018,,168
Short Plane Supports for Spatial Hypergraphs,No,No,https://doi.org/10.1007/978-3-030-04414-5_4,"hypergraphs, spatial",,custom (randomly generated),custom (random),,aggregate,compares heuristics vs optimal,https://link.springer.com/content/pdf/10.1007%2F978-3-030-04414-5.pdf,2018,comparison,1000 + 1000,GD 2018,,1000
A Natural Quadratic Approach to the Generalized Graph Layering Problem,No,No,https://doi.org/10.1007/978-3-030-35802-0_40,many layers,,AT&T (modified),North Lib,,"aggregate, visual","AT&T: whereof we extracted all non-tree instances with 20 ≤ |V | ≤ 60, and
20 ≤ |A| ≤ 168",,2019,algorithm,180 + 127,GD 2019,,180
? Symmetry Detection and Classification in Drawings of Graphs,No,No,https://doi.org/10.1007/978-3-030-35802-0_38,,,custom made,custom,,aggregate,"it’s a machine-learning paper so datasets used are for the model not for the graph layout

implementation and dataset: https://github.com/enggiqbal/mlsymmetric",,2019,evaluation,64000,GD 2019,,64000
"Mixed Linear Layouts: Complexity, Heuristics, and Experiments",No,No,https://doi.org/10.1007/978-3-030-35802-0_35,linear layout,,custom made (random),custom (random),,aggregate,datasets generated according sparse graph classes,,2019,algorithm,549,GD 2019,,549
Graph Drawing with Morphing Partial Edges,No,No,https://doi.org/10.1007/978-3-030-35802-0_26,,,custom made,custom,,visual,lacking evaluation,,2019,algorithm,1?,GD 2019,,1
Maximizing Ink in Partial Edge Drawings of k-plane Graphs,No,No,https://doi.org/10.1007/978-3-030-35802-0_25,,,custom made,custom,,aggregate,,,2019,algorithm,800,GD 2019,,800
Stress-Plus-X (SPX) Graph Layout,No,No,https://doi.org/10.1007/978-3-030-35802-0_23,,,2017 and 2018 graph drawing contest + 400 graph from Radermacher et al. + custom made,,,"aggregate, visual",implementation: https://github.com/devkotasabin/SPX-graph-layout,,2019,"algorithm, comparison",400 + 36 + 100,GD 2019,,400
ChordLink: A New Hybrid Visualization Model,No,No,https://doi.org/10.1007/978-3-030-35802-0_22,"labeled nodes, nodes with categorical feature",,DBLP + Italian Revenue Agency,"DBLP, Italian Revenue Agency",,visual,turns very-highly connected regions into chord-link diagrams,,2019,algorithm,2,GD 2019,,2
? Generation of Topological Representations,No,No,https://doi.org/10.1007/978-3-030-35802-0_20,,,k-planar graphs,k-planar graphs,,,implementation: https://github.com/beyond-planarity/complete-graphs,,2019,algorithm,?,GD 2019,,
* Computing Height-Optimal Tangles Faster,No,No,https://doi.org/10.1007/978-3-030-35802-0_16,wires,,custom made,custom,,"visual, aggregate",dataset link: https://github.com/PhKindermann/chaotic-attractors,,2019,algorithm,1151,GD 2019,,1151
Node Overlap Removal Algorithms: A Comparative Study,No,No,https://doi.org/10.1007/978-3-030-35802-0_14,,,custom made with OGDF + graphviz’s test graphs,"custom, graphviz examples",,aggregate,,,2019,comparison,854,GD 2019,,854
Multi-level Graph Drawing Using Infomap Clustering,No,No,10.1007/978-3-030-35802-0_11,multilevel,,bunch of references,,,"visual, aggregate","dataset ref 1: Bartel, G., Gutwenger, C., Klein, K., Mutzel, P.: An experimental evaluation of
multilevel layout methods. In: Brandes, U., Cornelsen, S. (eds.) GD 2010. LNCS,
vol. 6502, pp. 80–91. Springer, Heidelberg (2011). https://doi.org/10.1007/978-3-
642-18469-7 8

dataset ref2: guyen, A., Hong, S.: k-core based multi-level graph visualization for scale-free
networks. In: 2017 IEEE Pacific Visualization Symposium, PacificVis 2017, Seoul,
South Korea, 18–21 April 2017, pp. 21–25 (2017)

dataset ref 3: Walshaw, C., et al.: A multilevel algorithm for force-directed graph-drawing. J.
Graph Algorithms Appl. 7(3), 253–285 (2003)",,2019,algorithm,19,GD 2019,,19
A Quality Metric for Visualization of Clusters in Graphs,No,No,10.1007/978-3-030-35802-0_10,clusters,,custom made + SNAP,"SNAP, custom",,"visual, aggregate",,,2019,"comparison, quality metrics",18,GD 2019,,18
Computing Stable Demers Cartograms,No,No,10.1007/978-3-030-35802-0_4,dynamic,,"World bank - bunch of references ",,,aggregate,,https://arxiv.org/pdf/1908.07291.pdf,2019,algorithm,9,GD 2019,,9
The Turing Test for Graph Drawing Algorithms,No,No,10.1007/978-3-030-68766-3_36,,,bunch of references for individual dataset - both synthetic and abstract - they tried to balance between synthetic and natural,,,visual,empirical study (turing test),,2020,comparison,9,GD 2020,,9
New Quality Metrics for Dynamic Graph Drawing,No,No,10.1007/978-3-030-68766-3_35,dynamic,,custom made + Social Evolution set,custom,,"visual, aggregate","second dataset from: Madan, A., Cebrian, M., Moturu, S., Farrahi, K., et al.: Sensing the “health state”
of a community. IEEE Pervasive Comput. 11(4), 36–45 (2011)",,2020,quality metrics,15,GD 2020,,15
"Storyline Visualizations with Ubiquitous
Actors",No,No,10.1007/978-3-030-68766-3_25,"dynamic, temporal event sequence",,Graph drawing collaboration network,GD collaboration network,,visual,,https://link.springer.com/content/pdf/10.1007%2F978-3-030-68766-3.pdf,2020,algorithm,2,GD 2020,,2
