group,character,timestep_start,timestep_stop
Home,Balas_Felix,61,61
Shopping,Balas_Felix,62,63
Home,Balas_Felix,64,74
GASTech,Balas_Felix,75,78
Dining,Balas_Felix,79,80
GASTech,Balas_Felix,81,84
Home,Balas_Felix,85,86
Dining,Balas_Felix,87,88
Home,Balas_Felix,89,98
GASTech,Balas_Felix,99,102
Dining,Balas_Felix,103,104
GASTech,Balas_Felix,105,108
Home,Balas_Felix,109,132
Dining,Balas_Felix,133,134
Home,Balas_Felix,135,157
Dining,Balas_Felix,158,158
Home,Balas_Felix,159,169
Dining,Balas_Felix,170,170
GASTech,Balas_Felix,171,174
Dining,Balas_Felix,175,176
GASTech,Balas_Felix,177,180
Home,Balas_Felix,181,194
GASTech,Balas_Felix,195,198
Dining,Balas_Felix,199,200
GASTech,Balas_Felix,201,204
Home,Balas_Felix,205,205
Shopping,Balas_Felix,206,207
Home,Balas_Felix,208,217
Dining,Balas_Felix,218,218
GASTech,Balas_Felix,219,222
Dining,Balas_Felix,223,224
GASTech,Balas_Felix,225,228
Home,Balas_Felix,229,229
Dining,Balas_Felix,230,230
Home,Balas_Felix,231,241
Dining,Balas_Felix,242,242
GASTech,Balas_Felix,243,246
Dining,Balas_Felix,247,248
GASTech,Balas_Felix,249,252
Home,Balas_Felix,253,253
Dining,Balas_Felix,254,254
Home,Balas_Felix,255,265
Dining,Balas_Felix,266,266
GASTech,Balas_Felix,267,270
Dining,Balas_Felix,271,272
GASTech,Balas_Felix,273,276
Home,Balas_Felix,277,278
Dining,Balas_Felix,279,280
Home,Balas_Felix,281,300
Gas,Balas_Felix,301,301
Dining,Balas_Felix,302,302
Home,Balas_Felix,303,324
Dining,Balas_Felix,325,327
Coffee,Barranco_Ingrid,1,1
GASTech,Barranco_Ingrid,2,7
Dining,Barranco_Ingrid,8,8
GASTech,Barranco_Ingrid,9,12
Home,Barranco_Ingrid,13,14
Dining,Barranco_Ingrid,15,15
Home,Barranco_Ingrid,16,25
GASTech,Barranco_Ingrid,26,30
Dining,Barranco_Ingrid,31,32
GASTech,Barranco_Ingrid,33,36
Home,Barranco_Ingrid,37,38
Dining,Barranco_Ingrid,39,39
Home,Barranco_Ingrid,40,48
Coffee,Barranco_Ingrid,49,49
GASTech,Barranco_Ingrid,50,55
Dining,Barranco_Ingrid,56,56
GASTech,Barranco_Ingrid,57,60
Home,Barranco_Ingrid,61,61
Dining,Barranco_Ingrid,62,63
Home,Barranco_Ingrid,64,73
GASTech,Barranco_Ingrid,74,78
Dining,Barranco_Ingrid,79,79
GASTech,Barranco_Ingrid,80,84
Home,Barranco_Ingrid,85,86
Shopping,Barranco_Ingrid,87,88
Home,Barranco_Ingrid,89,97
Coffee,Barranco_Ingrid,98,98
GASTech,Barranco_Ingrid,99,102
Coffee,Barranco_Ingrid,103,104
GASTech,Barranco_Ingrid,105,108
Home,Barranco_Ingrid,109,127
Dining,Barranco_Ingrid,128,128
Shopping,Barranco_Ingrid,129,130
Home,Barranco_Ingrid,131,132
Dining,Barranco_Ingrid,133,133
Home,Barranco_Ingrid,134,151
Recreation,Barranco_Ingrid,152,154
Home,Barranco_Ingrid,155,157
Dining,Barranco_Ingrid,158,159
Home,Barranco_Ingrid,160,169
GASTech,Barranco_Ingrid,170,174
Dining,Barranco_Ingrid,175,176
GASTech,Barranco_Ingrid,177,180
Home,Barranco_Ingrid,181,181
Shopping,Barranco_Ingrid,182,183
Home,Barranco_Ingrid,184,193
GASTech,Barranco_Ingrid,194,198
Dining,Barranco_Ingrid,199,200
GASTech,Barranco_Ingrid,201,204
Home,Barranco_Ingrid,205,217
GASTech,Barranco_Ingrid,218,222
Dining,Barranco_Ingrid,223,224
GASTech,Barranco_Ingrid,225,228
Home,Barranco_Ingrid,229,229
Dining,Barranco_Ingrid,230,230
Home,Barranco_Ingrid,231,241
GASTech,Barranco_Ingrid,242,246
Coffee,Barranco_Ingrid,247,247
GASTech,Barranco_Ingrid,248,252
Home,Barranco_Ingrid,253,254
Dining,Barranco_Ingrid,255,255
Home,Barranco_Ingrid,256,266
GASTech,Barranco_Ingrid,267,270
Dining,Barranco_Ingrid,271,271
GASTech,Barranco_Ingrid,272,276
Home,Barranco_Ingrid,277,277
Dining,Barranco_Ingrid,278,279
Home,Barranco_Ingrid,280,295
Coffee,Barranco_Ingrid,296,296
Home,Barranco_Ingrid,297,300
Shopping,Barranco_Ingrid,301,302
Home,Barranco_Ingrid,303,319
Recreation,Barranco_Ingrid,320,322
Home,Barranco_Ingrid,323,327
Unknown,Baza_Isak,2,2
GASTech,Baza_Isak,3,6
Coffee,Baza_Isak,7,8
GASTech,Baza_Isak,9,11
Home,Baza_Isak,12,25
Coffee,Baza_Isak,26,26
GASTech,Baza_Isak,27,30
Dining,Baza_Isak,31,32
GASTech,Baza_Isak,33,35
Home,Baza_Isak,36,50
GASTech,Baza_Isak,51,54
Coffee,Baza_Isak,55,56
GASTech,Baza_Isak,57,60
Home,Baza_Isak,61,61
Dining,Baza_Isak,62,64
Home,Baza_Isak,65,73
Coffee,Baza_Isak,74,74
GASTech,Baza_Isak,75,78
Dining,Baza_Isak,79,80
GASTech,Baza_Isak,81,83
Home,Baza_Isak,84,85
Dining,Baza_Isak,86,86
Home,Baza_Isak,87,97
Coffee,Baza_Isak,98,98
GASTech,Baza_Isak,99,102
Dining,Baza_Isak,103,104
GASTech,Baza_Isak,105,107
Home,Baza_Isak,108,132
Dining,Baza_Isak,133,133
Home,Baza_Isak,134,157
Dining,Baza_Isak,158,158
Home,Baza_Isak,159,169
Coffee,Baza_Isak,170,170
GASTech,Baza_Isak,171,174
Coffee,Baza_Isak,175,176
GASTech,Baza_Isak,177,180
Home,Baza_Isak,181,181
Shopping,Baza_Isak,182,182
Home,Baza_Isak,183,194
GASTech,Baza_Isak,195,198
Dining,Baza_Isak,199,200
GASTech,Baza_Isak,201,203
Home,Baza_Isak,204,205
Dining,Baza_Isak,206,207
Home,Baza_Isak,208,217
Coffee,Baza_Isak,218,218
GASTech,Baza_Isak,219,222
Dining,Baza_Isak,223,224
GASTech,Baza_Isak,225,227
Home,Baza_Isak,228,229
Dining,Baza_Isak,230,231
Home,Baza_Isak,232,242
GASTech,Baza_Isak,243,246
Dining,Baza_Isak,247,248
GASTech,Baza_Isak,249,251
Home,Baza_Isak,252,253
Dining,Baza_Isak,254,254
Home,Baza_Isak,255,266
GASTech,Baza_Isak,267,275
Home,Baza_Isak,276,277
Dining,Baza_Isak,278,278
Home,Baza_Isak,279,325
Dining,Baza_Isak,326,327
Coffee,Bergen_Linnea,2,2
GASTech,Bergen_Linnea,3,6
Dining,Bergen_Linnea,7,7
GASTech,Bergen_Linnea,8,12
Home,Bergen_Linnea,13,13
Coffee,Bergen_Linnea,14,14
Home,Bergen_Linnea,15,25
Coffee,Bergen_Linnea,26,26
GASTech,Bergen_Linnea,27,30
Dining,Bergen_Linnea,31,32
GASTech,Bergen_Linnea,33,36
Home,Bergen_Linnea,37,37
Coffee,Bergen_Linnea,38,38
Home,Bergen_Linnea,39,49
Coffee,Bergen_Linnea,50,50
GASTech,Bergen_Linnea,51,54
Dining,Bergen_Linnea,55,56
GASTech,Bergen_Linnea,57,60
Home,Bergen_Linnea,61,62
Coffee,Bergen_Linnea,63,63
Home,Bergen_Linnea,64,73
Coffee,Bergen_Linnea,74,74
GASTech,Bergen_Linnea,75,78
Coffee,Bergen_Linnea,79,79
GASTech,Bergen_Linnea,80,84
Home,Bergen_Linnea,85,85
Dining,Bergen_Linnea,86,87
Home,Bergen_Linnea,88,97
Coffee,Bergen_Linnea,98,98
GASTech,Bergen_Linnea,99,102
Dining,Bergen_Linnea,103,103
GASTech,Bergen_Linnea,104,105
Shopping,Bergen_Linnea,106,106
GASTech,Bergen_Linnea,107,108
Home,Bergen_Linnea,109,127
Dining,Bergen_Linnea,128,128
Home,Bergen_Linnea,129,132
Coffee,Bergen_Linnea,133,133
Home,Bergen_Linnea,134,156
Coffee,Bergen_Linnea,157,157
Home,Bergen_Linnea,158,170
GASTech,Bergen_Linnea,171,174
Dining,Bergen_Linnea,175,176
GASTech,Bergen_Linnea,177,180
Home,Bergen_Linnea,181,181
Coffee,Bergen_Linnea,182,183
Home,Bergen_Linnea,184,193
Coffee,Bergen_Linnea,194,194
GASTech,Bergen_Linnea,195,198
Dining,Bergen_Linnea,199,199
GASTech,Bergen_Linnea,200,204
Home,Bergen_Linnea,205,218
GASTech,Bergen_Linnea,219,222
Dining,Bergen_Linnea,223,223
GASTech,Bergen_Linnea,224,228
Home,Bergen_Linnea,229,229
Coffee,Bergen_Linnea,230,231
Home,Bergen_Linnea,232,241
Coffee,Bergen_Linnea,242,242
GASTech,Bergen_Linnea,243,246
Dining,Bergen_Linnea,247,248
GASTech,Bergen_Linnea,249,252
Home,Bergen_Linnea,253,253
Coffee,Bergen_Linnea,254,255
Home,Bergen_Linnea,256,266
GASTech,Bergen_Linnea,267,276
Home,Bergen_Linnea,277,294
Dining,Bergen_Linnea,295,295
Shopping,Bergen_Linnea,296,327
Coffee,Borrasca_Isande,2,2
GASTech,Borrasca_Isande,3,6
Dining,Borrasca_Isande,7,8
GASTech,Borrasca_Isande,9,12
Home,Borrasca_Isande,13,25
Coffee,Borrasca_Isande,26,26
GASTech,Borrasca_Isande,27,30
Dining,Borrasca_Isande,31,31
GASTech,Borrasca_Isande,32,36
Home,Borrasca_Isande,37,37
Dining,Borrasca_Isande,38,39
Home,Borrasca_Isande,40,49
Coffee,Borrasca_Isande,50,50
GASTech,Borrasca_Isande,51,53
Lodging,Borrasca_Isande,54,55
GASTech,Borrasca_Isande,56,59
Home,Borrasca_Isande,60,60
Dining,Borrasca_Isande,61,62
Home,Borrasca_Isande,63,74
GASTech,Borrasca_Isande,75,78
Dining,Borrasca_Isande,79,80
GASTech,Borrasca_Isande,81,84
Home,Borrasca_Isande,85,85
Dining,Borrasca_Isande,86,86
Home,Borrasca_Isande,87,97
Coffee,Borrasca_Isande,98,98
GASTech,Borrasca_Isande,99,101
Lodging,Borrasca_Isande,102,103
GASTech,Borrasca_Isande,104,108
Home,Borrasca_Isande,109,127
Dining,Borrasca_Isande,128,128
Home,Borrasca_Isande,129,132
Coffee,Borrasca_Isande,133,134
Home,Borrasca_Isande,135,151
Dining,Borrasca_Isande,152,152
Home,Borrasca_Isande,153,156
Dining,Borrasca_Isande,157,158
Home,Borrasca_Isande,159,170
GASTech,Borrasca_Isande,171,174
Dining,Borrasca_Isande,175,176
GASTech,Borrasca_Isande,177,179
Home,Borrasca_Isande,180,193
Coffee,Borrasca_Isande,194,194
GASTech,Borrasca_Isande,195,197
Lodging,Borrasca_Isande,198,199
GASTech,Borrasca_Isande,200,204
Home,Borrasca_Isande,205,206
Dining,Borrasca_Isande,207,208
Home,Borrasca_Isande,209,217
Coffee,Borrasca_Isande,218,218
GASTech,Borrasca_Isande,219,222
Dining,Borrasca_Isande,223,224
GASTech,Borrasca_Isande,225,228
Home,Borrasca_Isande,229,229
Shopping,Borrasca_Isande,230,230
Home,Borrasca_Isande,231,242
GASTech,Borrasca_Isande,243,246
Dining,Borrasca_Isande,247,248
GASTech,Borrasca_Isande,249,252
Home,Borrasca_Isande,253,265
Coffee,Borrasca_Isande,266,266
GASTech,Borrasca_Isande,267,269
Lodging,Borrasca_Isande,270,272
GASTech,Borrasca_Isande,273,276
Home,Borrasca_Isande,277,277
Dining,Borrasca_Isande,278,278
Home,Borrasca_Isande,279,295
Shopping,Borrasca_Isande,296,297
Home,Borrasca_Isande,298,324
Shopping,Borrasca_Isande,325,327
Coffee,Calixto_Nils,2,2
GASTech,Calixto_Nils,3,6
Dining,Calixto_Nils,7,8
GASTech,Calixto_Nils,9,12
Home,Calixto_Nils,13,25
Coffee,Calixto_Nils,26,26
GASTech,Calixto_Nils,27,31
Coffee,Calixto_Nils,32,32
GASTech,Calixto_Nils,33,35
Home,Calixto_Nils,36,37
Coffee,Calixto_Nils,38,38
Home,Calixto_Nils,39,50
GASTech,Calixto_Nils,51,54
Dining,Calixto_Nils,55,56
GASTech,Calixto_Nils,57,60
Home,Calixto_Nils,61,61
Coffee,Calixto_Nils,62,63
Home,Calixto_Nils,64,74
GASTech,Calixto_Nils,75,78
Dining,Calixto_Nils,79,80
GASTech,Calixto_Nils,81,84
Home,Calixto_Nils,85,85
Dining,Calixto_Nils,86,87
Home,Calixto_Nils,88,97
Coffee,Calixto_Nils,98,98
GASTech,Calixto_Nils,99,102
Dining,Calixto_Nils,103,104
GASTech,Calixto_Nils,105,107
Home,Calixto_Nils,108,133
Coffee,Calixto_Nils,134,134
Home,Calixto_Nils,135,151
Dining,Calixto_Nils,152,152
Home,Calixto_Nils,153,169
Coffee,Calixto_Nils,170,170
GASTech,Calixto_Nils,171,174
Coffee,Calixto_Nils,175,176
GASTech,Calixto_Nils,177,179
Home,Calixto_Nils,180,181
Coffee,Calixto_Nils,182,183
Home,Calixto_Nils,184,193
Coffee,Calixto_Nils,194,194
GASTech,Calixto_Nils,195,198
Dining,Calixto_Nils,199,200
GASTech,Calixto_Nils,201,204
Home,Calixto_Nils,205,205
Coffee,Calixto_Nils,206,206
Home,Calixto_Nils,207,217
Coffee,Calixto_Nils,218,218
GASTech,Calixto_Nils,219,222
Dining,Calixto_Nils,223,223
GASTech,Calixto_Nils,224,227
Home,Calixto_Nils,228,242
GASTech,Calixto_Nils,243,252
Home,Calixto_Nils,253,253
Coffee,Calixto_Nils,254,254
Home,Calixto_Nils,255,265
Coffee,Calixto_Nils,266,266
GASTech,Calixto_Nils,267,270
Dining,Calixto_Nils,271,271
GASTech,Calixto_Nils,272,275
Home,Calixto_Nils,276,277
Coffee,Calixto_Nils,278,279
Home,Calixto_Nils,280,301
Coffee,Calixto_Nils,302,302
Home,Calixto_Nils,303,325
Coffee,Calixto_Nils,326,326
Unknown,Calixto_Nils,327,327
GASTech,Calzas_Axel,3,6
Dining,Calzas_Axel,7,8
Unknown,Calzas_Axel,9,11
Home,Calzas_Axel,12,13
Dining,Calzas_Axel,14,26
GASTech,Calzas_Axel,27,30
Dining,Calzas_Axel,31,32
GASTech,Calzas_Axel,33,35
Home,Calzas_Axel,36,50
GASTech,Calzas_Axel,51,54
Coffee,Calzas_Axel,55,56
GASTech,Calzas_Axel,57,59
Home,Calzas_Axel,60,74
Unknown,Calzas_Axel,75,78
Coffee,Calzas_Axel,79,80
GASTech,Calzas_Axel,81,83
Home,Calzas_Axel,84,84
Dining,Calzas_Axel,85,86
Home,Calzas_Axel,87,97
Dining,Calzas_Axel,98,98
GASTech,Calzas_Axel,99,102
Dining,Calzas_Axel,103,104
GASTech,Calzas_Axel,105,108
Unknown,Calzas_Axel,109,109
Home,Calzas_Axel,110,157
Shopping,Calzas_Axel,158,171
GASTech,Calzas_Axel,172,174
Dining,Calzas_Axel,175,176
GASTech,Calzas_Axel,177,180
Home,Calzas_Axel,181,194
GASTech,Calzas_Axel,195,198
Dining,Calzas_Axel,199,200
Unknown,Calzas_Axel,201,203
Home,Calzas_Axel,204,204
Dining,Calzas_Axel,205,206
Home,Calzas_Axel,207,218
Unknown,Calzas_Axel,219,219
GASTech,Calzas_Axel,220,222
Dining,Calzas_Axel,223,224
GASTech,Calzas_Axel,225,228
Unknown,Calzas_Axel,229,231
Home,Calzas_Axel,232,242
GASTech,Calzas_Axel,243,246
Dining,Calzas_Axel,247,248
GASTech,Calzas_Axel,249,251
Home,Calzas_Axel,252,253
Shopping,Calzas_Axel,254,255
Home,Calzas_Axel,256,266
GASTech,Calzas_Axel,267,270
Dining,Calzas_Axel,271,272
GASTech,Calzas_Axel,273,275
Home,Calzas_Axel,276,277
Dining,Calzas_Axel,278,278
Home,Calzas_Axel,279,295
Shopping,Calzas_Axel,296,298
Unknown,Calzas_Axel,299,300
Dining,Calzas_Axel,301,303
Home,Calzas_Axel,304,324
Dining,Calzas_Axel,325,327
Coffee,Campo-Corrente_Ada,1,2
GASTech,Campo-Corrente_Ada,3,6
Coffee,Campo-Corrente_Ada,7,7
GASTech,Campo-Corrente_Ada,8,12
Home,Campo-Corrente_Ada,13,14
Dining,Campo-Corrente_Ada,15,16
Home,Campo-Corrente_Ada,17,25
Coffee,Campo-Corrente_Ada,26,26
GASTech,Campo-Corrente_Ada,27,30
Dining,Campo-Corrente_Ada,31,31
GASTech,Campo-Corrente_Ada,32,36
Home,Campo-Corrente_Ada,37,38
Dining,Campo-Corrente_Ada,39,40
Home,Campo-Corrente_Ada,41,49
Coffee,Campo-Corrente_Ada,50,50
GASTech,Campo-Corrente_Ada,51,54
Dining,Campo-Corrente_Ada,55,55
GASTech,Campo-Corrente_Ada,56,60
Home,Campo-Corrente_Ada,61,62
Dining,Campo-Corrente_Ada,63,63
Home,Campo-Corrente_Ada,64,73
Coffee,Campo-Corrente_Ada,74,74
GASTech,Campo-Corrente_Ada,75,78
Dining,Campo-Corrente_Ada,79,79
GASTech,Campo-Corrente_Ada,80,84
Home,Campo-Corrente_Ada,85,86
Shopping,Campo-Corrente_Ada,87,87
Home,Campo-Corrente_Ada,88,97
Coffee,Campo-Corrente_Ada,98,98
GASTech,Campo-Corrente_Ada,99,102
Dining,Campo-Corrente_Ada,103,103
GASTech,Campo-Corrente_Ada,104,108
Home,Campo-Corrente_Ada,109,110
Dining,Campo-Corrente_Ada,111,111
Home,Campo-Corrente_Ada,112,132
Dining,Campo-Corrente_Ada,133,134
Home,Campo-Corrente_Ada,135,151
Recreation,Campo-Corrente_Ada,152,154
Home,Campo-Corrente_Ada,155,156
Dining,Campo-Corrente_Ada,157,158
Home,Campo-Corrente_Ada,159,169
GASTech,Campo-Corrente_Ada,170,174
Dining,Campo-Corrente_Ada,175,175
GASTech,Campo-Corrente_Ada,176,180
Home,Campo-Corrente_Ada,181,182
Dining,Campo-Corrente_Ada,183,183
Home,Campo-Corrente_Ada,184,193
Coffee,Campo-Corrente_Ada,194,194
GASTech,Campo-Corrente_Ada,195,198
Dining,Campo-Corrente_Ada,199,200
GASTech,Campo-Corrente_Ada,201,204
Home,Campo-Corrente_Ada,205,206
Dining,Campo-Corrente_Ada,207,207
Home,Campo-Corrente_Ada,208,217
GASTech,Campo-Corrente_Ada,218,222
Dining,Campo-Corrente_Ada,223,223
GASTech,Campo-Corrente_Ada,224,228
Home,Campo-Corrente_Ada,229,241
Coffee,Campo-Corrente_Ada,242,242
GASTech,Campo-Corrente_Ada,243,246
Dining,Campo-Corrente_Ada,247,247
GASTech,Campo-Corrente_Ada,248,252
Home,Campo-Corrente_Ada,253,254
Dining,Campo-Corrente_Ada,255,255
Home,Campo-Corrente_Ada,256,265
Coffee,Campo-Corrente_Ada,266,266
GASTech,Campo-Corrente_Ada,267,270
Dining,Campo-Corrente_Ada,271,271
GASTech,Campo-Corrente_Ada,272,276
Home,Campo-Corrente_Ada,277,278
Dining,Campo-Corrente_Ada,279,279
Home,Campo-Corrente_Ada,280,294
Dining,Campo-Corrente_Ada,295,295
Shopping,Campo-Corrente_Ada,296,298
Home,Campo-Corrente_Ada,299,300
Dining,Campo-Corrente_Ada,301,302
Home,Campo-Corrente_Ada,303,319
Recreation,Campo-Corrente_Ada,320,322
Home,Campo-Corrente_Ada,323,324
Dining,Campo-Corrente_Ada,325,327
Dining,Cazar_Gustav,2,2
GASTech,Cazar_Gustav,3,6
Dining,Cazar_Gustav,7,8
GASTech,Cazar_Gustav,9,11
Unknown,Cazar_Gustav,12,13
Dining,Cazar_Gustav,14,14
Unknown,Cazar_Gustav,15,26
